adsh,fraud,ddate,AccountsReceivable,Cash,CashFlowfromOps,OtherIncome,sum_of_first_digits,total_deviation,CurrentRatio,DebtToEquityRatio,ProfitMargin,ReceivableTurnover,AQI,DEPI,TATA
0000002178-18-000009,0.0,20161231.0,106756000.0,78750000.0,6504000.0,4700000.0,944,0.002007732271,5.928877840399182,0.5392272210675028,0.2293869531735861,26.298456292854727,0.0,0.316076080025848,0.5596902627674425
0000002488-18-000042,0.0,20161231.0,126000000.0,2010000000.0,90000000.0,1559000000.0,1162,0.003766023807,5.9134640522875825,1.464383561641328,0.3320872903616892,78.55555555555556,0.036223300599900636,0.2612765957446809,0.12215811394291393
0000002969-18-000014,0.0,20161231.0,-57400000.0,573500000.0,525400000.0,-758800000.0,596,0.008124896902,60.20192307692307,0.0030573499676229943,0.15660026560424967,-32.79616724738676,0.0,0.3207782101167315,-0.21703529411764705
0000003499-18-000006,0.0,20161231.0,182581000.0,845694000.0,130820000.0,0.0,660,0.0232142548,2.2676813060953998,0.8220550646935458,0.2708541363946257,2.3859711580065834,0.0,0.3672667125459616,-0.002387992680570653
0000003545-18-000021,0.0,20161231.0,7177000.0,-6183000.0,-16890000.0,21945000.0,400,0.034987853439999994,-0.19116732324279492,2.3531275301613825,0.9033248395910723,4.53852584645395,0.0,0.3706227522241151,6.116481774960381
0000003570-18-000031,0.0,20161231.0,465000000.0,-668000000.0,-404000000.0,12922000000.0,850,0.005142544364,19.381699346405227,3.1455492189433123,-1.3920606601248884,4.821505376344086,0.001367600305489991,0.012890523422118206,-0.048256753636573536
0000004127-18-000011,0.0,20161231.0,-49300000.0,1570300000.0,517400000.0,17900000.0,370,0.022579716040000003,32.337811900191944,0.26528231433905963,0.1640599365634912,-18.545638945233268,0.004873294346978585,0.5562336530078466,-0.2106409815388144
0000004281-18-000042,0.0,20161231.0,-7968000000.0,2308000000.09,870000000.0,2745000000.0,1448,0.004086465510000001,18.786171193155653,0.90846540393647,0.7993620207017772,-1.9278363453815264,0.19529914524882752,0.4502586597372875,0.10834757831966314
0000004457-18-000005,0.0,20161231.0,23548000.0,607012000.0,931313000.0,1543042000.0,904,0.003163994026,70.82926386493602,0.9049012925847346,0.29099033250329576,289.91846441311367,0.0,0.45877769319556294,0.09072511710988612
0000004904-18-000009,0.0,20161231.0,15873300000.0,-6832000000.0,8319400000.0,12101300000.0,8756,0.001059686436,4.309676091513487,1.6768496341675436,0.29200984453433404,4.136556355641234,9.420800539872154e-05,0.1066150505566015,0.01876243178346472
0000004962-18-000032,0.0,20161231.0,242936000000.0,42806000000.0,12693000000.0,6124000000.0,2126,0.003454007563,35.615551364884965,0.8309127339634772,0.13555524171815106,0.2920933908519116,0.013901603574552055,0.4513784996794187,-0.005862742495678624
0000004969-18-000006,0.0,20161231.0,89606000000.0,4066000000.0,346000000.0,4862000000.0,794,0.004974300791,0.0,2.748630444536516,-0.2396878483835005,0.010010490368948508,0.0,0.0,-0.004412875212384369
0000004977-18-000054,0.0,20161231.0,1512000000.0,118796000000.0,5987000000.0,2911000000.0,1682,0.004837314195,31.197400096972128,1.553267514678202,-1.8486251170613501,33.72089947089947,0.0,0.11873619840326145,-0.1703732915953407
0000005272-18-000022,0.0,20161231.0,96799000000.0,25320000000.32,11359000000.0,201764000000.0,3206,0.001855929511,88.43903638152634,0.7298283848792751,-4.535094559968654,2.6891910040392983,0.004157727003368583,0.08427776633010509,-0.4980972830387977
0000005513-18-000016,0.0,20161231.0,4824900000.0,-447000000.0,1116100000.0,948100000.0,1582,0.01013746036,24.58525935844443,1.2657136215960427,-8.65704515287183,4.6062094551182415,0.0034074477799221907,0.0745327613530794,-1.9677436411594476
0000006201-18-000009,0.0,20161231.0,1754000000.0,-4863000000.0,6524000000.0,13793000000.0,1178,0.005113147215,9.804165238258484,0.6196021728061589,0.24794506831068566,51.396237172177884,0.03614841467589014,0.1726029348910101,0.06299902071763479
0000007039-18-000003,0.0,20161231.0,48594000.0,-42354000.0,28514000.0,8011000.0,898,0.009836758704,9.67332531403443,0.5234965128361342,0.4897258285287652,9.922624192287113,0.16074826879576642,0.2415157341256837,0.192083412357352
0000007084-18-000012,0.0,20161231.0,40500000000.0,2507000001.2,1213000000.0,1092000000.0,1420,0.005921654968,6.240947992130451,0.8036642338505413,0.9840327148498956,4.619012345679012,0.031105872865600737,0.18966704372202825,0.5671882510624175
0000007332-18-000016,0.0,20161231.0,393000000.0,3165000000.0,506000000.0,5846000000.0,1344,0.00181467775,23.87734487734488,4.830296610159258,-0.6996699669966997,13.106870229007633,0.0,0.2702036368589525,-0.033224739901215015
0000007789-18-000013,0.0,20161231.0,81889233574.0,-217923000.0,641383000.0,5598412000.0,1830,0.004955392704,681.8058588916747,1.1386652675184221,-1.6914038854561215,0.013144475201704128,0.0067631035150336185,0.19564704583868056,-0.016309770737938566
0000008063-18-000006,0.0,20161231.0,344673000.0,2533000.0,48854000.0,25398000.0,968,0.01303063342,6.919894820763103,0.5354100365318297,0.1703390556577398,2.366068708602066,0.20934847673784807,0.15464765328269126,0.032111785306730915
0000008670-18-000003,0.0,20161231.0,119700000.0,18090000000.0,841100000.0,234000000.0,898,0.005765911534,770.8353413654619,0.06125827790373384,0.566771214657567,363.3149540517962,0.010932269283954963,0.13620268105556024,1.1084566783221668
0000008868-18-000013,0.0,20161231.0,4472000000.0,990800000.0,60400000.0,897100000.0,1370,0.003719715337,17.48125193784475,0.7887093988761851,0.9185166095744268,3.473166368515206,0.016054133386981032,0.11702223422450266,0.4749375647082987
