adsh,1,2,3,4,5,6,7,8,9,sum_of_first_digits,total_deviation,fraud
0001477932-18-000400,146,82,48,32,30,20,14,14,12,398,0.01048312586,0
0001558370-18-000730,322,176,136,80,72,42,42,22,28,920,0.01048336719,0
0001445866-18-000059,222,118,140,90,78,34,50,60,36,828,0.01050433861,0
0001042046-18-000014,526,306,194,158,98,112,104,142,30,1670,0.0105130471,0
0001493152-18-003865,144,106,78,80,58,42,26,18,36,588,0.01051920943,0
0001144204-18-007370,192,174,114,60,66,48,42,30,18,744,0.01052814777,0
0000107815-18-000136,298,152,168,72,102,42,42,40,44,960,0.01054433156,0
0001193125-18-047541,348,188,92,72,54,50,60,32,56,952,0.0105484209,0
0001193125-18-094424,348,188,92,72,54,50,60,32,56,952,0.0105484209,0
0001144204-18-013354,260,142,120,44,64,40,52,26,52,800,0.01055420832,0
0001549346-18-000006,302,174,182,86,92,60,42,42,22,1002,0.01056456001,0
0001144204-18-018161,342,242,90,80,70,50,46,52,46,1018,0.01057038983,0
0001437749-18-001477,128,66,60,30,46,40,42,22,18,452,0.01058089204,0
0001214659-18-001996,102,76,36,36,44,18,18,26,12,368,0.01059288026,0
0001595527-18-000004,194,134,100,90,46,42,50,16,20,692,0.01059755566,0
0000086115-18-000035,198,150,70,66,52,36,16,32,22,642,0.01060559174,0
0001167609-18-000011,372,172,132,176,140,68,54,66,60,1240,0.01061817231,0
0001214659-18-001101,106,68,30,28,32,16,30,26,18,354,0.01061858256,0
0001287151-18-000047,562,214,152,100,112,80,100,54,72,1446,0.01062219512,0
0001171843-18-000341,146,72,50,54,48,34,40,10,24,478,0.01062751441,0
0000038777-18-000018,226,108,90,64,80,34,28,26,16,672,0.01063086717,0
0001144204-18-013487,158,124,66,44,44,22,16,28,20,522,0.01063444852,0
0000012400-18-000006,170,138,98,40,40,54,32,46,34,652,0.01063520375,0
0001564590-18-004953,164,84,90,70,48,24,26,16,32,554,0.01064020371,0
0000100885-18-000048,396,166,96,70,100,60,60,66,62,1076,0.01064482672,0
0001437749-18-005913,450,224,110,140,156,136,80,80,48,1424,0.01066259526,0
0001558370-18-001312,318,268,120,112,76,126,92,78,62,1252,0.01066631191,0
0001558370-18-000862,218,102,100,70,68,34,28,18,18,656,0.01066882165,0
0001640334-18-000434,78,52,56,26,26,14,14,18,10,294,0.01067600925,0
0001437749-18-003295,144,68,40,64,28,20,24,20,22,430,0.0106778382,0
0001654954-18-001319,262,166,168,78,86,76,30,32,44,942,0.01067847555,0
0001058623-18-000016,344,258,118,102,70,48,34,56,50,1080,0.01068023035,0
0001193125-18-060818,210,100,94,72,40,34,14,30,34,628,0.01068991625,0
0001213900-18-002757,400,258,172,110,96,108,146,90,104,1484,0.01069650578,0
0000104894-18-000022,260,166,88,48,78,82,54,64,32,872,0.0106970333,0
0001144204-18-014372,78,74,46,34,26,22,24,28,12,344,0.0106982466,0
0001553023-18-000029,338,144,74,96,66,46,72,58,36,930,0.0107216484,0
0001472375-18-000033,168,78,90,48,58,32,24,46,34,578,0.01072317068,0
0001144204-18-014360,246,96,72,88,42,34,28,36,24,666,0.01072488504,0
0001601712-18-000107,264,142,168,104,68,46,56,64,70,982,0.01072625176,0
0001558370-18-001342,326,168,148,108,96,50,32,44,20,992,0.01072838557,0
0001515971-18-000014,180,92,52,40,54,24,50,28,20,540,0.01072902547,0
0001580673-18-000011,248,146,140,52,76,52,56,20,36,826,0.01073440324,0
0001378992-18-000009,124,46,56,50,28,36,20,28,16,404,0.01073916485,0
0001618034-18-000003,398,160,210,112,70,112,98,78,62,1300,0.01074295195,0
0001637913-18-000004,282,180,112,64,98,84,70,70,80,1040,0.01074517103,0
0001558370-18-002060,212,164,128,82,108,58,62,70,36,920,0.01075394955,0
0001370368-18-000005,464,338,156,124,98,130,144,124,86,1664,0.01075486288,0
0001144204-18-002252,124,46,56,30,40,24,22,24,10,376,0.01076316172,0
0001564590-18-001474,156,62,60,24,34,24,18,18,20,416,0.01076711397,0
0001562762-18-000120,206,102,112,60,48,24,34,38,16,640,0.01076798301,0
0001206774-18-000352,154,76,66,48,38,16,48,30,26,502,0.01077245584,0
0000897723-18-000005,142,72,70,28,18,28,26,20,16,420,0.01077587272,0
0001564590-18-007268,190,106,74,42,40,28,22,26,48,576,0.01077709264,0
0001564590-18-005610,204,138,120,92,52,26,40,56,44,772,0.01078388143,0
0001564590-18-005831,152,102,40,62,40,30,24,18,36,504,0.01078472386,0
0001193125-18-058285,300,142,132,86,116,78,46,24,34,958,0.01079179271,0
0001564590-18-002535,192,126,84,96,74,74,60,26,28,760,0.01079895625,0
0001564590-18-001197,154,112,52,28,44,24,32,32,30,508,0.01080173502,0
0001558370-18-000574,158,82,76,54,26,18,40,20,30,504,0.01081458076,0
0001437749-18-002248,148,60,76,30,38,34,32,22,32,472,0.01082408382,0
0001389050-18-000006,396,170,134,88,86,134,68,80,72,1228,0.01082694251,0
0001642081-18-000031,478,340,174,78,114,78,74,56,68,1460,0.01083597599,0
0001628280-18-003226,294,152,116,130,116,96,70,44,26,1044,0.01084068423,0
0001428336-18-000009,262,198,80,104,116,66,40,58,42,966,0.01084204093,0
0001646587-18-000006,396,236,166,58,108,114,62,54,42,1236,0.01085054441,0
0001646587-18-000009,396,236,166,58,108,114,62,54,42,1236,0.01085054441,0
0000783005-18-000005,216,142,88,82,42,24,38,28,16,676,0.01085874356,0
0001144204-18-018029,202,114,130,66,60,60,60,58,54,804,0.01086248861,0
0001469709-18-000014,134,82,64,36,34,18,30,14,8,420,0.01086801466,0
0001564590-18-002068,132,86,76,46,64,28,28,30,38,528,0.01087192883,0
