adsh,1,2,3,4,5,6,7,8,9,sum_of_first_digits,total_deviation,fraud
0000276209-18-000007,440,260,144,126,104,94,92,70,80,1410,0.002079741877,0
0000875357-18-000013,536,306,230,176,148,154,108,78,62,1798,0.002081704639,0
0001666700-18-000009,618,326,224,152,126,118,104,102,70,1840,0.002084786915,0
0001564590-18-003549,448,262,164,108,98,80,76,72,58,1366,0.002086947414,0
0000059527-18-000006,376,224,166,100,108,94,90,78,66,1302,0.002099348929,0
0000102729-18-000008,844,422,266,254,180,166,138,110,120,2500,0.00210023254,0
0001632933-18-000008,218,150,82,62,66,50,48,42,34,752,0.002101303546,0
0001070154-18-000007,616,296,236,208,126,118,100,86,80,1866,0.002102969691,0
0001620533-18-000015,324,168,154,96,86,74,66,42,56,1066,0.002108962477,0
0001564590-18-003936,566,334,244,162,150,160,96,112,70,1894,0.002111012911,0
0001654954-18-002560,300,196,140,96,86,62,44,50,38,1012,0.0021114734,0
0000019612-18-000037,646,348,210,172,148,142,142,98,96,2002,0.002113245973,0
0001628280-18-002667,470,262,200,120,138,126,102,86,76,1580,0.002113808314,0
0000726865-18-000173,558,378,216,176,136,102,92,108,84,1850,0.002113824198,0
0001035443-18-000028,696,396,236,182,174,132,116,104,126,2162,0.002118548082,0
0001628280-18-002933,344,204,134,124,108,76,82,64,40,1176,0.002119073985,0
0001193125-18-056085,358,204,130,104,82,64,70,42,60,1114,0.002122033072,0
0001193125-18-037332,472,238,196,156,114,118,94,98,56,1542,0.002130589548,0
0000077476-18-000012,396,282,174,136,104,110,92,62,54,1410,0.002138753576,0
0001564590-18-003128,406,216,186,130,130,88,82,74,46,1358,0.002143133592,0
0000851205-18-000004,330,198,132,94,82,78,72,58,32,1076,0.002148022745,0
0001615774-18-001909,290,192,116,96,86,82,54,54,34,1004,0.002149090227,0
0001145197-18-000004,282,166,116,100,98,68,52,50,34,966,0.002149247365,0
0001562762-17-000231,240,166,108,92,66,42,50,44,36,844,0.002150021157,0
0001144204-18-015275,448,280,198,134,114,132,94,100,76,1576,0.002156004597,0
0000713671-18-000038,488,254,176,158,144,134,96,76,82,1608,0.002156200444,0
0001577670-18-000002,472,226,178,142,110,94,110,68,72,1472,0.002158130269,0
0001552781-18-000106,462,258,176,110,132,108,98,70,62,1476,0.002162337723,0
0001462120-18-000011,336,228,152,120,92,66,74,80,50,1198,0.002162498484,0
0001603923-18-000037,504,328,184,140,120,94,104,98,70,1642,0.002172659779,0
0001585364-18-000015,616,310,230,176,164,120,102,110,60,1888,0.002173488508,0
0001437749-18-003230,480,270,198,186,144,122,94,108,64,1666,0.002175903954,0
0001047469-18-001548,256,152,126,82,68,76,44,48,36,888,0.002178676992,0
0000098362-18-000033,432,286,230,132,118,100,86,70,58,1512,0.002180016103,0
0001069996-18-000003,462,272,170,176,100,96,102,70,78,1526,0.002185342908,0
0000320335-18-000006,618,278,226,160,140,132,96,100,88,1838,0.002186931964,0
0001702780-18-000002,386,208,126,92,94,76,70,66,60,1178,0.002187042642,0
0001193125-18-073515,540,350,230,200,134,126,76,82,94,1832,0.002190121563,0
0001628280-18-003045,436,268,156,124,122,112,82,84,50,1434,0.002190856666,0
0001562762-18-000100,498,328,204,178,144,96,74,74,70,1666,0.002198142284,0
0001010086-18-000003,220,146,82,58,50,48,46,38,30,718,0.002201648306,0
0001594864-18-000005,250,142,100,90,54,54,64,42,36,832,0.002207775944,0
0000776867-18-000002,570,372,220,186,134,116,94,98,60,1850,0.002207829522,0
0000927089-18-000052,278,142,110,88,80,44,58,48,36,884,0.002209037356,0
0001558370-18-002320,538,358,200,146,152,98,102,98,82,1774,0.002210461408,0
0001628280-18-002102,572,278,182,142,132,116,92,84,84,1682,0.002220263294,0
0001564590-18-005748,276,154,96,80,56,62,54,36,48,862,0.002222662998,0
0001193125-18-045618,288,194,116,94,70,84,62,54,56,1018,0.002228143641,0
0001514732-18-000042,250,114,88,78,66,50,42,34,40,762,0.002228673347,0
0001095073-18-000008,574,322,232,208,196,142,98,96,106,1974,0.002232029797,0
0000746838-18-000009,362,218,146,142,86,62,66,58,48,1188,0.002232988955,0
0001705110-18-000004,324,174,114,82,62,72,52,46,42,968,0.002245080048,0
0001062993-18-000989,726,354,280,272,168,172,152,126,98,2348,0.002251741857,0
0001062993-18-001119,726,354,280,272,168,172,152,126,98,2348,0.002251741857,0
0001372414-18-000007,348,192,168,110,104,102,66,54,60,1204,0.002257223889,0
0001193125-18-011696,508,260,210,140,116,80,102,74,84,1574,0.002257854771,0
0001527166-18-000008,510,316,228,208,158,152,90,98,78,1838,0.002261955911,0
0001193125-18-058491,306,202,122,86,62,64,60,44,44,990,0.002262783484,0
0001652044-18-000007,342,168,144,116,72,86,58,64,48,1098,0.002265356993,0
0001558370-18-002174,452,254,166,174,106,98,80,64,84,1478,0.002266367419,0
0000832480-18-000008,250,176,108,74,64,48,56,38,36,850,0.002268767652,0
0000716634-18-000006,424,278,176,110,96,76,80,74,64,1378,0.002284512113,0
0001104659-18-014379,384,276,150,144,112,100,88,60,56,1370,0.002288269,0
0001564590-18-002204,300,208,130,90,72,62,64,48,60,1034,0.002291140887,0
0001047469-18-000680,670,378,308,184,196,188,114,114,120,2272,0.00229443112,0
0001564590-18-004398,216,104,86,68,50,48,38,26,38,674,0.002295896768,0
0001674335-18-000038,624,326,200,154,138,120,114,84,96,1856,0.002297156975,0
0001193125-18-092436,642,340,260,188,164,98,130,116,74,2012,0.002301189883,0
0001193125-18-060835,612,438,260,236,200,136,132,128,82,2224,0.002302616877,0
0001564590-18-007279,394,182,170,132,104,78,68,64,46,1238,0.002304647012,0
0000754737-18-000115,820,538,336,246,212,148,114,132,116,2662,0.002306015172,0
0001558370-18-002384,352,160,124,102,74,64,60,44,46,1026,0.002306126806,0
0001437749-18-004044,364,198,130,82,90,68,64,48,50,1094,0.002307379921,0
0000099070-18-000002,374,220,168,122,92,62,72,84,58,1252,0.002308404521,0
0001410636-18-000076,352,210,130,104,82,82,68,42,38,1108,0.002313219432,0
0001683825-18-000014,292,150,126,96,94,56,54,50,34,952,0.002317426309,0
0001654954-18-001436,310,150,114,90,84,60,56,48,60,972,0.002317439816,0
0001564590-18-005881,380,224,146,86,90,70,64,66,54,1180,0.002324606743,0
0001232384-18-000017,400,232,184,132,98,68,82,90,64,1350,0.002328381376,0
0001628280-18-002128,628,430,244,246,200,164,124,142,106,2284,0.002333000088,0
0001558370-18-002364,390,246,182,126,106,100,68,48,48,1314,0.002335165453,0
0000702325-18-000012,586,314,194,170,152,148,122,116,98,1900,0.002337804157,0
0001564590-18-003000,334,256,172,126,96,92,82,62,58,1278,0.002340981091,0
0001279569-18-000342,402,238,172,128,136,94,84,68,88,1410,0.002345597198,0
0001570585-18-000065,510,286,218,162,118,106,96,52,66,1614,0.00234905232,0
0000764764-18-000016,328,174,118,84,66,76,70,58,44,1018,0.002351000214,0
0000356028-18-000025,176,138,84,68,54,44,38,38,32,672,0.002352386867,0
0000919574-18-002506,228,140,96,66,68,50,36,50,44,778,0.002354742821,0
0001438533-18-000006,322,162,138,100,88,52,50,44,44,1000,0.002354801154,0
0000073756-18-000013,272,160,108,82,64,62,40,30,44,862,0.002361232428,0
0001426945-18-000004,270,152,108,100,68,48,48,40,28,862,0.002361922082,0
0000874716-18-000005,350,246,144,100,102,74,80,66,68,1230,0.002363508395,0
0000029915-18-000007,534,288,160,146,112,110,94,80,66,1590,0.00236365613,0
0000101778-18-000026,360,234,144,108,96,92,74,76,78,1262,0.002368421549,0
0000860748-18-000045,614,396,294,214,206,186,110,120,88,2228,0.002369059481,0
0001558370-18-001788,370,212,126,100,102,82,52,54,44,1142,0.002370246074,0
0001562762-18-000046,382,224,198,122,104,90,80,92,64,1356,0.002371202512,0
0001125376-18-000028,326,198,134,96,110,78,52,60,40,1094,0.002377803955,0
0000867665-18-000014,298,160,126,82,64,74,40,46,44,934,0.002379383414,0
0000808450-18-000032,192,138,86,62,64,46,40,32,24,684,0.002380015613,0
0001047469-18-001112,320,212,138,126,74,60,66,52,42,1090,0.002380078108,0
0001497645-18-000005,308,202,116,94,76,80,54,70,46,1046,0.002384098668,0
0001558370-18-001283,230,136,78,56,54,52,40,30,34,710,0.002387799416,0
0001193125-18-101439,564,358,236,192,170,108,102,94,56,1880,0.002388752338,0
0001281761-18-000016,632,344,300,200,152,164,90,122,94,2098,0.002389652994,0
0001542447-18-000010,284,172,114,118,92,58,56,46,52,992,0.002393832614,0
0001193125-18-084834,584,306,230,146,166,114,98,78,104,1826,0.002398795344,0
0001558370-18-001251,358,230,176,124,84,82,72,58,38,1222,0.002400104797,0
0001437107-18-000028,902,518,406,276,212,182,130,140,92,2858,0.002405024081,0
0001140361-18-013710,378,268,140,122,90,80,62,64,58,1262,0.002405954102,0
0001467760-18-000003,342,166,138,102,86,52,60,44,48,1038,0.002406046908,0
0001564590-18-004240,288,162,124,100,60,64,42,46,32,918,0.002406637043,0
0001174947-18-000352,564,316,234,186,140,92,88,68,72,1760,0.002407939806,0
0001193125-18-029493,634,378,298,240,172,126,174,122,100,2244,0.00240941881,0
0000881453-18-000008,372,230,158,114,114,58,72,66,68,1252,0.002417773207,0
0001594012-18-000029,566,278,212,152,102,104,110,86,80,1690,0.002430753764,0
0001411488-18-000011,418,242,182,144,100,66,64,58,60,1334,0.002433503443,0
0001403528-18-000009,322,176,106,90,82,56,58,48,60,998,0.002433552472,0
0000894627-18-000013,284,144,118,78,84,56,38,48,42,892,0.002439295355,0
0001564590-18-002824,442,246,178,138,118,78,70,62,42,1374,0.002446008072,0
0001043604-18-000011,426,224,174,128,92,74,64,56,76,1314,0.002448785173,0
0000040888-18-000003,410,256,216,128,102,118,90,68,74,1462,0.002449400607,0
0000040888-18-000007,410,256,216,128,102,118,90,68,74,1462,0.002449400607,0
0001305773-18-000016,284,152,110,110,84,58,50,38,36,922,0.002450583588,0
0001038357-18-000015,312,210,138,98,98,54,58,66,48,1082,0.002451877449,0
0001012620-18-000008,362,222,142,128,96,60,74,78,46,1208,0.002453635425,0
0001144204-18-011097,316,184,138,118,78,70,50,48,32,1034,0.002453876803,0
0001437749-18-003532,364,210,134,124,110,70,62,42,58,1174,0.002455705316,0
0001602658-18-000056,556,306,232,162,118,92,104,92,56,1718,0.002457226921,0
0000079282-18-000006,390,232,148,142,104,94,80,52,40,1282,0.0024634063,0
0001418135-18-000006,414,268,178,142,90,78,70,52,62,1354,0.002468097412,0
0001193125-18-058659,342,186,166,128,112,68,70,72,56,1200,0.00246830145,0
0000352736-18-000004,426,244,206,130,140,82,90,84,54,1456,0.002468387885,0
0001115055-18-000012,602,344,252,204,176,152,100,148,86,2064,0.002473291635,0
0000939767-18-000023,290,196,116,100,76,62,44,50,32,966,0.00247425578,0
0001104659-18-021203,456,332,176,184,140,108,94,82,68,1640,0.002476281374,0
0001123360-18-000007,420,254,224,116,110,100,76,78,60,1438,0.002479967279,0
0001365555-18-000052,688,402,212,216,170,154,144,90,92,2168,0.002480725,0
0001579252-18-000016,296,156,122,90,70,46,70,50,42,942,0.002481596824,0
0001393726-18-000013,612,360,280,168,168,136,78,112,94,2008,0.0024918183,0
0001169264-18-000014,624,312,208,176,130,126,80,86,86,1828,0.002492036995,0
0001037646-18-000006,418,266,176,122,148,82,74,70,62,1418,0.002492164182,0
0001079973-18-000056,344,196,126,104,84,90,64,38,44,1090,0.002492430615,0
0001193125-18-066579,548,316,220,126,152,110,124,88,74,1758,0.002494096365,0
0001564590-18-002855,670,320,246,190,162,136,122,144,108,2098,0.002497684458,0
0001564590-18-007158,358,254,158,118,86,80,72,52,42,1220,0.002497723616,0
0000038009-18-000030,404,208,136,98,90,84,60,62,68,1210,0.002502762929,0
0000045947-18-000006,340,218,130,108,86,78,70,66,32,1128,0.002504516779,0
0000750686-18-000057,676,396,250,176,152,104,116,114,112,2096,0.002505475816,0
0001437749-18-004295,412,222,144,126,112,82,56,48,60,1262,0.002511093155,0
0001437749-18-004397,434,216,170,148,124,80,106,68,68,1414,0.002511507307,0
0001564590-18-005853,190,134,88,62,62,44,42,46,38,706,0.00251369552,0
0000849869-18-000010,310,200,114,108,62,70,48,54,44,1010,0.002516846248,0
0001628280-18-002437,368,188,134,94,106,76,70,62,70,1168,0.002519102995,0
0001628280-18-003401,368,188,134,94,106,76,70,62,70,1168,0.002519102995,0
0000712537-18-000012,524,300,214,164,152,106,120,114,56,1750,0.002521773674,0
0000051644-18-000019,488,322,186,150,112,80,78,78,76,1570,0.002524646786,0
0001144204-18-001288,328,184,136,94,94,94,64,58,68,1120,0.002533608472,0
0001047469-18-001779,460,238,156,118,90,88,74,54,62,1340,0.002537867664,0
0001574197-18-000004,230,144,82,64,70,52,52,34,28,756,0.002546292825,0
0001564590-18-005145,158,78,68,58,40,32,30,20,28,512,0.00254694022,0
0000790051-18-000095,378,222,150,96,88,84,60,42,50,1170,0.002549244141,0
0001273813-18-000004,604,322,192,182,148,130,120,110,116,1924,0.00255131008,0
0001390844-18-000003,388,278,140,136,108,94,74,74,50,1342,0.002553919527,0
0000766704-18-000012,510,256,186,156,104,104,74,104,70,1564,0.002557427478,0
0001564590-18-006217,468,286,174,142,100,92,98,106,76,1542,0.00256068485,0
0000790703-18-000011,264,152,134,100,80,54,56,36,48,924,0.002562421917,0
0000920148-18-000024,582,264,226,160,144,104,98,84,60,1722,0.002562885902,0
0001193125-18-053893,680,424,286,204,198,122,108,100,136,2258,0.002564596715,0
0000946275-18-000013,478,290,192,192,124,106,104,58,64,1608,0.002571824854,0
0001558370-18-002105,398,244,130,122,106,76,66,74,44,1260,0.002575350078,0
0001071993-18-000012,256,150,138,88,78,58,42,44,48,902,0.002579513848,0
0001193125-18-079483,422,216,170,128,126,98,86,72,40,1358,0.00258348187,0
0001514226-18-000010,296,162,134,86,106,64,60,50,42,1000,0.002586043309,0
0001564590-18-005648,260,146,88,64,56,62,50,34,34,794,0.002594596299,0
0001564590-18-003508,254,144,78,90,56,56,42,40,34,794,0.002596556204,0
0000024491-18-000003,446,280,152,134,112,72,76,62,58,1392,0.002596762362,0
0001120193-18-000003,354,226,170,122,86,58,76,74,60,1226,0.002597501123,0
0001193125-18-022390,360,216,146,114,98,88,76,90,44,1232,0.002601611725,0
0001193125-18-035350,360,216,146,114,98,88,76,90,44,1232,0.002601611725,0
0001701605-18-000029,290,186,158,104,96,72,58,42,44,1050,0.002605358769,0
0001564590-18-001675,374,240,190,128,92,98,80,66,40,1308,0.002617185085,0
0000707549-18-000016,292,138,94,70,74,62,52,42,42,866,0.002621928111,0
0000769397-18-000011,440,290,178,146,140,88,82,60,50,1474,0.002622453216,0
0001609351-18-000026,206,134,100,72,66,38,34,30,32,712,0.002624200941,0
0001514991-18-000004,414,216,132,148,102,88,80,52,56,1288,0.002625882727,0
0001117733-18-000023,204,124,90,68,48,42,32,22,28,658,0.002627988539,0
0001368519-18-000004,250,166,96,76,76,46,40,44,30,824,0.002628633929,0
0001021162-18-000009,436,244,150,146,112,98,58,86,54,1384,0.002633865244,0
0000106640-18-000019,414,240,218,122,132,90,84,64,56,1420,0.002634752458,0
0000200406-18-000005,428,246,188,112,92,72,76,72,78,1364,0.002639139791,0
0001012771-18-000006,494,258,192,156,90,80,90,88,70,1518,0.002640868263,0
0001042773-18-000004,300,164,114,84,82,78,44,40,34,940,0.0026415088,0
0000863436-18-000005,354,214,110,108,102,84,78,52,52,1154,0.002641889956,0
0001558370-18-002217,378,240,140,138,134,102,86,68,58,1344,0.002643992577,0
0001089819-18-000006,470,288,196,124,92,84,84,66,60,1464,0.002650221577,0
0001104659-18-021281,360,250,146,100,106,70,64,50,52,1198,0.002660307231,0
0000052795-18-000004,392,186,176,110,80,76,68,60,46,1194,0.002666949957,0
0000110471-18-000010,424,292,178,116,140,96,92,64,76,1478,0.002668014434,0
0001193125-18-084050,528,302,268,158,162,102,116,110,70,1816,0.002672209212,0
0000079879-18-000010,534,248,226,152,106,112,78,90,72,1618,0.002675313559,0
0001564590-18-004158,392,182,150,106,82,70,70,46,46,1144,0.002680157113,0
0001193125-18-058405,322,210,174,94,82,68,62,60,60,1132,0.002680574367,0
0000753308-18-000013,734,388,290,282,186,124,140,154,112,2410,0.002683597842,0
0001558370-18-000726,674,330,240,196,124,126,94,96,102,1982,0.002685161755,0
0001047469-18-000695,652,350,302,226,166,120,90,112,78,2096,0.002686198975,0
0000751364-18-000024,390,184,144,94,94,64,64,50,48,1132,0.002689041822,0
0000866729-18-000003,238,116,104,74,64,54,30,36,34,750,0.002689354861,0
0000797468-18-000005,362,166,138,110,90,66,82,68,52,1134,0.002691101055,0
0001564590-18-003547,632,308,240,182,144,100,82,88,82,1858,0.002693089275,0
0001628280-18-001920,878,424,366,284,180,182,140,130,164,2748,0.002703764235,0
0001047469-18-000900,350,172,126,136,96,84,74,54,54,1146,0.002708518561,0
0000100122-18-000005,320,160,154,90,78,72,50,42,46,1012,0.002710299561,0
0000100122-18-000008,320,160,154,90,78,72,50,42,46,1012,0.002710299561,0
0001040593-18-000017,352,212,170,114,100,90,76,42,42,1198,0.002719322643,0
0001193125-18-085922,394,228,198,106,116,86,68,52,60,1308,0.002719694844,0
0001193125-18-101432,208,126,98,68,42,54,40,28,38,702,0.002722267452,0
0000808362-18-000006,296,170,156,108,86,74,48,42,46,1026,0.002723456971,0
0001029199-18-000015,330,240,136,116,106,102,66,60,62,1218,0.002724139214,0
0001144204-18-011220,568,292,268,162,144,128,118,68,70,1818,0.002727223786,0
0000009984-18-000024,274,156,100,104,86,60,68,52,36,936,0.002730466274,0
0001493152-18-002084,196,116,106,80,58,48,38,44,36,722,0.002730882454,0
0001564590-18-002721,244,112,92,62,64,44,38,32,28,716,0.002731854142,0
0000937966-18-000007,484,236,230,164,122,90,80,68,62,1536,0.002732038112,0
0001564590-18-005295,310,176,152,98,76,66,72,48,32,1030,0.002735078481,0
0001647088-18-000006,408,226,138,102,106,92,82,74,78,1306,0.002736568195,0
0000950103-18-003092,448,216,172,112,132,76,80,68,58,1362,0.002737405203,0
0001111335-18-000004,518,302,198,176,132,92,90,78,46,1632,0.002739586451,0
0001628280-18-002495,552,348,256,202,122,102,134,118,86,1920,0.002740693916,0
0001125920-18-000004,292,168,142,80,74,70,50,36,52,964,0.002742692526,0
0001387131-18-000571,276,156,134,86,86,62,70,62,52,984,0.002743642224,0
0000708821-18-000010,226,128,110,76,66,56,40,26,30,758,0.00274528214,0
0000071691-18-000004,402,188,178,132,102,90,58,70,48,1268,0.002747807999,0
0001002638-18-000003,288,192,158,98,72,60,50,48,44,1010,0.002749303005,0
0000059478-18-000089,366,204,136,120,128,82,78,58,44,1216,0.002750526992,0
0001193125-18-059578,1190,714,404,306,262,302,240,164,184,3766,0.002750873228,0
0001558370-18-001782,436,294,196,116,146,92,84,80,82,1526,0.002752552778,0
0001493152-18-001242,328,176,98,104,76,70,66,54,36,1008,0.00275633236,0
0000026172-18-000011,460,250,158,146,146,116,96,64,82,1518,0.002760352361,0
0000793952-18-000012,352,178,138,132,90,64,64,46,64,1128,0.002761422561,0
0001564590-18-002228,412,256,212,118,122,80,68,62,58,1388,0.002761767733,0
0001144204-18-018015,314,182,102,90,60,60,62,48,36,954,0.002762566745,0
0001045450-18-000021,330,216,144,142,100,102,78,54,56,1222,0.002769849179,0
0001573516-18-000010,280,188,146,100,84,54,56,42,36,986,0.002772821135,0
0001628280-18-002649,442,282,180,102,110,82,80,82,60,1420,0.002772851558,0
0001213900-18-001253,398,216,162,142,80,84,76,44,62,1264,0.002785658055,0
0000937834-18-000008,794,514,354,248,182,154,130,104,88,2568,0.002790327794,0
0001193125-18-064038,586,386,240,248,180,164,116,84,86,2090,0.002790809936,0
0001628280-18-002289,326,204,148,106,106,88,92,60,66,1196,0.002791321613,0
0001628280-18-003257,278,146,126,82,60,46,58,36,36,868,0.002791962987,0
0001628280-18-001219,254,132,106,64,68,42,42,32,42,782,0.002794462551,0
0001401680-18-000004,306,198,162,94,108,82,56,54,50,1110,0.002802134846,0
0000887343-18-000041,564,286,212,150,154,118,122,126,88,1820,0.002803109066,0
0000884905-18-000014,454,298,168,118,136,90,72,66,66,1468,0.002812678163,0
0001144204-18-016725,198,122,86,76,56,50,40,34,18,680,0.00281515161,0
0000103379-18-000003,472,314,178,168,90,106,84,84,64,1560,0.002820129157,0
0001564590-18-002219,376,224,110,108,96,72,72,60,46,1164,0.002823581326,0
0001276187-18-000011,484,350,264,152,130,110,100,98,94,1782,0.002830146931,0
0000068505-18-000009,434,256,142,110,92,102,90,72,72,1370,0.00283561537,0
0001558370-18-001510,244,138,82,74,46,46,48,36,44,758,0.002837367767,0
0001193311-18-000005,268,170,110,76,64,50,70,54,42,904,0.002838484782,0
0001306830-18-000030,472,238,216,138,118,114,66,96,64,1522,0.002838552911,0
0001193125-18-074695,574,294,238,164,186,134,90,76,96,1852,0.002840768501,0
0001193125-18-074742,574,294,238,164,186,134,90,76,96,1852,0.002840768501,0
0001144204-18-012571,396,222,190,108,110,88,78,48,46,1286,0.002844826037,0
0000822416-18-000009,374,186,190,128,114,76,78,72,62,1280,0.002848578516,0
0001056358-18-000026,282,204,142,92,72,60,64,42,38,996,0.00284862357,0
0001144204-18-011448,426,298,152,140,94,86,82,62,60,1400,0.002850514275,0
0001564590-18-004735,266,136,114,74,60,60,36,34,46,826,0.002852757502,0
0000018926-18-000012,360,214,146,104,106,58,54,60,40,1142,0.002859492208,0
0000861459-18-000008,316,182,164,108,76,90,58,46,44,1084,0.002861767201,0
0001193125-18-016152,408,196,166,128,104,100,82,48,46,1278,0.002863486034,0
0001213900-18-001407,436,286,148,140,140,106,94,66,56,1472,0.002864228755,0
0001213900-18-001782,436,286,148,140,140,106,94,66,56,1472,0.002864228755,0
0001193125-18-047233,356,200,120,106,104,64,46,60,54,1110,0.002867887871,0
0001193125-18-103266,328,158,122,94,84,64,80,44,42,1016,0.002868779222,0
0000814052-18-000019,550,248,196,170,164,116,110,100,88,1742,0.00287320346,0
0000701985-18-000018,296,218,130,122,86,88,64,56,64,1124,0.002873338099,0
0000700841-18-000006,204,110,80,82,42,48,40,28,30,664,0.002878048923,0
0001262823-18-000008,374,194,162,106,88,108,56,58,56,1202,0.002884179457,0
0000705432-18-000028,538,352,252,136,122,114,112,92,102,1820,0.00288932412,0
0001564590-18-004758,198,90,78,54,48,46,30,36,22,602,0.002893823618,0
0001564590-18-004430,232,140,110,78,80,44,36,38,42,800,0.002895358626,0
0001178913-18-000984,248,154,88,86,64,40,36,36,36,788,0.002900348738,0
0001558370-18-002192,278,136,132,96,78,68,52,58,54,952,0.002905056058,0
0001437749-18-004585,250,156,102,74,44,58,54,44,44,826,0.002911802902,0
0000310826-18-000007,564,344,232,162,130,132,154,118,92,1928,0.00291654468,0
0000874238-18-000022,236,146,108,96,46,52,52,40,40,816,0.002916940527,0
0001558370-18-001216,446,320,230,154,132,100,88,58,66,1594,0.002917237961,0
0001144204-18-014162,252,156,116,80,62,50,38,28,34,816,0.002917458939,0
0001425450-18-000040,226,114,84,56,46,36,42,40,26,670,0.002918356838,0
0001286225-18-000008,328,234,164,98,110,94,76,64,46,1214,0.00292155078,0
0000049826-18-000017,372,254,150,136,118,66,72,78,48,1294,0.00292257451,0
0001062993-18-000457,694,464,276,210,214,178,122,82,120,2360,0.002925552474,0
0001062993-18-001042,694,464,276,210,214,178,122,82,120,2360,0.002925552474,0
0001564590-18-005647,302,138,128,96,76,60,44,48,32,924,0.002926807646,0
0001648416-18-000014,356,210,146,76,88,66,58,60,50,1110,0.002930331411,0
0001628280-18-001014,294,194,130,96,70,52,64,42,32,974,0.002933321579,0
0001015328-18-000080,896,460,318,216,204,158,168,134,168,2722,0.002945763153,0
0000040211-18-000023,386,210,196,142,112,104,74,74,84,1382,0.002946691591,0
0001308179-18-000062,678,320,208,200,136,128,104,98,106,1978,0.002948945246,0
0001213900-18-001614,332,172,112,98,86,68,84,64,48,1064,0.002955067865,0
0001564590-18-002871,296,186,136,88,108,72,48,58,54,1046,0.002955188726,0
0001558370-18-001702,538,244,236,144,116,94,86,78,72,1608,0.002956332707,0
0001647509-18-000014,548,350,196,150,170,126,92,72,96,1800,0.002957614759,0
0001635718-18-000006,346,216,140,110,100,74,86,42,40,1154,0.002958048372,0
0000794170-18-000028,204,106,90,68,44,34,40,36,40,662,0.002958152285,0
0001458962-18-000003,254,126,112,64,68,50,46,42,50,812,0.002959445361,0
0001558370-18-001635,378,190,162,136,100,82,78,52,80,1258,0.002962233527,0
0001072627-18-000030,572,286,198,172,140,84,80,80,68,1680,0.002963535175,0
0000917491-18-000007,312,168,126,100,66,72,48,44,28,964,0.002963822212,0
0000899629-18-000008,422,244,168,146,106,106,104,106,64,1466,0.002963823017,0
0000009346-18-000017,404,208,136,124,112,80,76,52,38,1230,0.002969051452,0
0001270436-18-000003,382,228,166,148,104,80,102,56,46,1312,0.002971229284,0
0000320193-18-000007,158,102,82,48,48,32,38,24,20,552,0.002973006012,0
0000093410-18-000010,580,272,214,152,114,110,90,64,80,1676,0.00297437374,0
0001437749-18-003239,272,168,116,68,54,56,56,40,32,862,0.002979599963,0
0001708035-18-000005,414,214,158,114,94,106,52,56,56,1264,0.002980314229,0
0000804753-18-000006,324,206,118,96,108,76,68,46,38,1080,0.002983523195,0
0001213900-18-000797,434,268,142,134,140,100,88,62,54,1422,0.002984839729,0
0001213900-18-001163,434,268,142,134,140,100,88,62,54,1422,0.002984839729,0
0001558370-18-000867,280,164,104,76,72,68,72,36,44,916,0.002987196235,0
0001193125-18-086046,350,200,104,94,74,70,62,46,42,1042,0.002991747063,0
0001178913-18-000997,312,182,96,84,90,72,54,42,50,982,0.002996833993,0
0001164863-18-000009,412,288,198,152,100,92,58,68,62,1430,0.002998738228,0
0001564590-18-004255,166,114,70,66,44,40,36,24,18,578,0.003002338096,0
0001628280-18-002589,376,216,154,88,96,92,86,50,48,1206,0.003004512115,0
0001104659-18-021202,546,350,264,204,154,132,132,148,82,2012,0.003004645077,0
0000013239-18-000007,364,210,148,112,84,52,50,56,48,1124,0.003009175051,0
0001340127-18-000037,328,158,108,96,82,58,42,44,38,954,0.003009485521,0
0001193125-18-046681,514,298,282,174,164,116,100,92,62,1802,0.00300973304,0
0001628280-18-001957,554,300,190,190,116,102,118,88,56,1714,0.003010614795,0
0000936402-18-000007,682,390,326,214,146,128,102,104,130,2222,0.003012718759,0
0001628280-18-002551,514,294,254,200,138,106,96,88,52,1742,0.003016914273,0
0001477294-18-000023,358,190,188,108,98,62,70,58,54,1186,0.003017813263,0
0001562463-18-000035,424,208,166,164,106,76,64,78,62,1348,0.003024228937,0
0000731766-18-000005,392,202,138,118,92,52,64,54,58,1170,0.003024936569,0
0000785161-18-000012,480,326,178,158,90,104,100,80,80,1596,0.003031300581,0
0001564590-18-003800,368,256,156,118,94,100,96,72,80,1340,0.003031349651,0
0000886171-18-000005,450,238,184,134,152,120,108,80,60,1526,0.003033179835,0
0001493152-18-004266,252,174,110,82,76,66,68,34,36,898,0.003033701877,0
0001564590-18-003023,398,194,180,128,82,90,64,82,52,1270,0.003034114806,0
0001564590-18-004969,290,140,116,68,80,54,64,44,42,898,0.003034463289,0
0001357615-18-000033,414,224,202,156,104,94,56,68,72,1390,0.00303446981,0
0001336917-18-000009,336,194,126,112,88,58,52,56,30,1052,0.003041775958,0
0001028918-18-000042,510,338,250,174,126,116,112,78,50,1754,0.00304427037,0
0000031978-18-000011,340,204,140,136,92,92,46,66,48,1164,0.003046692889,0
0001489136-18-000004,404,222,150,144,88,76,68,50,78,1280,0.00304681749,0
0000930413-18-000694,660,378,240,238,178,162,92,92,72,2112,0.003048392418,0
0001564590-18-002954,422,208,204,136,124,108,80,62,82,1426,0.003049449981,0
