,Unnamed: 0,adsh,fraud,AccountsReceivable,Cash,CashFlowfromOps,CurrentLiabilities,Depreciation,Expenses,IntangibleAssets,OtherCurrentAssets,OtherIncome,OtherLiabilities,PPE,Sales,ShareholdersEquity,sum_of_first_digits,total_deviation,TotalCurrentAssets,CurrentRatio,TotalLiabilities,DebtToEquityRatio,NetIncome,ProfitMargin,ReceivableTurnover,CollectionRatio,DSRI,TotalAssets,AQI,DEPI,TATA
4715,4715,0001564590-18-003330,0.0,0.0,4537000000.0,3692000000.0,1231000000.0,74993000000.0,23038000000.0,0.0,38560000000.0,3863000000.0,25997000000.0,105246000000.0,38062000000.0,90629000002.52,1048,0.008331010289,43097000000.0,35.00974817221771,27228000000.0,0.3004336360242627,15024000000.0,0.3947243970364143,0.0,0.0,0.0,148343000000.0,0.0,0.4160753222110642,0.07639052735889122
4716,4716,0001564590-18-003389,0.0,184720000.0,353625000.0,-188673000.0,279020000.0,4532000.0,1353176031.15,59725000.0,1810095025.98,239062000.0,1288689000.0,348746000.0,1218800000.0,-618348000.0,938,0.01590162886,2348440025.98,8.416744412515232,1567709000.0,-2.535318299727661,-134376031.1500001,-0.11025273313915336,6.598094413165872,55.319002297341655,0.15155891040367575,2756911025.98,0.021663738668813104,0.012828424073958752,0.01969485715655221
4717,4717,0001564590-18-003390,0.0,0.0,199871000.0,-184683000.0,66638000.0,3121000.0,636272143.05,0.0,2095576000.0,851149000.0,118877000.0,201957000.0,0.0,1540505000.0003,630,0.007035882538,2295447000.0,34.44651700231098,185515000.0,0.12042479576500165,-636272143.05,0.0,0.0,0.0,0.0,2497404000.0,0.0,0.015218599752289372,-0.18082342426375547
4718,4718,0001564590-18-003418,0.0,75818000.0,319079000.0,138015000.0,60719000.0,272198000.0,544952000.0,880183000.0,1966998434.32,238970000.0,866924000.0,794267000.0,1841504000.0,2732540002.314,1022,0.007626397191,2361895434.32,38.898786777120826,927643000.0,0.3394801171124459,1296552000.0,0.7040723234921021,24.28848030810625,15.027700184197267,0.04117178132656785,4036345434.32,0.2180643392203333,0.2552338801554669,0.287026226781598
4719,4719,0001564590-18-003442,0.0,628352000.0,708929002.37,594740000.0,929387000.0,2155688000.0,6600042356.309999,318311000.0,8893906124.0,88909000.0,2702008000.0,8186763000.0,9158317000.0,9092812002.0,1330,0.00469123151,10231187126.37,11.008532641805834,3631395000.0,0.3993698538143382,2558274643.6900005,0.2793389488145039,14.575137820839275,25.04264484402539,0.06860998587404214,18736261126.37,0.016989035211085857,0.20843105758973385,0.10479863780967807
4720,4720,0001564590-18-003444,0.0,926740000.0,303603000.0,2939416000.0,1367627000.0,26373388000.0,7761924375.900002,42968773000.0,23340678000.0,5269613000.0,57928329000.0,20870999000.0,22296144000.0,33772297200.51,1972,0.01014897391,24571021000.0,17.966171331803192,59295956000.0,1.7557572600985096,14534219624.099997,0.6518714457576161,24.058683125795802,15.171237681277983,0.04156503474322735,88410793000.0,0.4860127541215471,0.5582332563654598,0.13114692483416587
4721,4721,0001564590-18-003452,0.0,1943054000.0,581019003.1199999,2817604000.0,2017203000.0,1058189000.0,22622501237.6,28477554000.0,55824088027.71,4298229000.0,37541263000.0,6628974000.0,36395500000.0,51538932004.44,1598,0.003556917578,58348161030.83,28.925279721887193,39558466000.0,0.7675453188783985,13772998762.400002,0.3784258702971522,18.731080042036922,19.486329628662887,0.053387204462090096,93454689030.83,0.30472044041156104,0.13765663613481333,0.1172268066590634
4722,4722,0001564590-18-003466,0.0,3106823000.0,286674000.0,307840000.0,270598000.0,358639000.0,1789297585.3200004,256309000.0,4182593586.09,-1199000.0,257728000.0,1181626000.0,4482807000.0,5726814178.16,776,0.01899999476,7576090586.09,27.997585296602338,528326000.0,0.09225478312441923,2693509414.68,0.6008533079117614,1.4428910176086631,252.9643580461974,0.6930530357430066,9014025586.09,0.0284344655506108,0.2328424004960185,0.2646619306651899
4723,4723,0001564590-18-003494,0.0,379641000.0,-238259000.0,407344000.0,3461064000.0,1576880000.0,352749427.19,189560000.0,10231189017.02,43181000.0,3139377000.0,16977402000.0,6313043000.0,7957364005.120002,1060,0.0167702197,10372571017.02,2.9969312954108918,6600441000.0,0.8294758158295992,5960293572.81,0.9441237090908458,16.628981063689118,21.9496311049996,0.0601359756301359,27539533017.02,0.006883195872742221,0.08498738997283754,0.20163557491618184
4724,4724,0001564590-18-003495,0.0,2882308000.0,1238110007.88,1893599000.0,14852634000.0,5148738000.0,122344455141.72,10263416000.0,32999538167.79,9741994000.0,35075672000.0,23123867000.0,117325887000.0,51161279000.02,1294,0.0009717227709,37119956175.67,2.4992170530607565,49928306000.0,0.9759002702020112,-5018568141.720001,-0.04277460217897182,40.70553424547273,8.966839688158506,0.02456668407714659,70507239175.67,0.1455654216502298,0.18211049176402386,-0.09803485744915096
4725,4725,0001564590-18-003500,0.0,372111000.0,140468000.0,274987000.0,133340000.0,1106735000.0,1817135298.37,3555526000.0,2527171000.0,441087000.0,2625152000.0,462823000.0,3439617000.0,6264681000.04,1084,0.009889569564,3039750000.0,22.796985150742458,2758492000.0,0.4403244155580128,1622481701.63,0.4717041756771176,9.243524109741447,39.48710423282592,0.1081838472132217,7058099000.0,0.5037512225317327,0.7051252645649285,0.19091467853171232
