adsh,fraud,ddate,AccountsReceivable,Cash,CashFlowfromOps,CurrentLiabilities,Depreciation,Expenses,IntangibleAssets,OtherCurrentAssets,OtherIncome,OtherLiabilities,PPE,Sales,ShareholdersEquity,sum_of_first_digits,total_deviation
0001023844-18-000003,0.0,20161231.0,-2159000.0,22498000.0,642000.0,-3999000.0,393000.0,80272000.0,621000.0,57604000.0,0.0,-108000.0,2530000.0,84922000.0,5738000.0,566,0.007720482487
0001023860-18-000009,0.0,20161231.0,3073247000.0,-53313000.0,5904000.0,40769000.0,4794000.0,164957000.0,0.0,1098998000.0,166159000.0,1810916000.0,18956000.0,-107000.0,916268000.11,1234,0.01195152283
0001024305-18-000006,0.0,20161231.0,293700000.0,1329000000.4,663400000.0,598100000.0,230300000.0,3036100000.0,211500000.0,-444400000.0,1989100000.0,1953400000.0,2819300000.0,12652400000.0,29083700000.0,906,0.007777928647
0001024478-18-000006,0.0,20161231.0,-6000000.0,1573200000.0,310800000.0,-10400000.0,32500000.0,1783100000.0,7900000.0,70800000.0,27600000.0,22400000.0,409400000.0,2997400000.0,330200000.76,534,0.01533081169
0001024725-18-000006,0.0,20161231.0,4325000000.0,72000000.0,484000000.0,2457000000.0,11320000000.0,9570000092.45,306000000.0,12502000036.36,545000000.0,12485000000.0,6105000000.0,29980000000.0,10534000000.01,1530,0.0030996361709999995
0001025378-18-000014,0.0,20161231.0,1572533000.0,-77633996.09619999,540773000.0,1193976000.0,1717767000.0,1316515123.3,8791089000.0,9254708000.0,2184985000.0,12490350000.0,14154080000.0,3257476000.0,24741914004.9212,1524,0.007370866298
0001025835-18-000016,0.0,20161231.0,6385172000.0,225591000.41,83848000.0,2774000.0,18516000.0,2015404000.0,41051000.0,5102358260.0,1981440000.0,4007227000.0,73833000.0,140000.0,11078732000.02,1626,0.004171137537
0001025953-18-000007,0.0,20161231.0,0.0,9610000.0,0.0,4380000.0,0.0,0.0,0.0,379097000.0,0.0,185169000.0,0.0,0.0,-55767999.99000001,444,0.033316729469999994
0001025996-18-000107,0.0,20161231.0,10847869000.0,218163000.313,345054000.0,449797000.0,3110882000.0,691892000.0,878710000.0,9007258000.0,1294903000.0,5527233000.0,20280372000.0,1511547000.0,20617879005.65,1090,0.01116681794
0001026214-18-000020,0.0,20161231.0,5631857000000.0,199965000000.0,3915000000.0,17561000000.0,7089000000.0,173743000000.0,0.0,2540643000000.0,511220000000.0,4137683000000.0,1788167000000.0,0.0,2002853000000.0,1222,0.004415807253
0001026608-18-000010,0.0,20161231.0,19673401.0,1882207.0,11863425.0,24386331.0,15421047.0,110091008.9,60450022.0,251550559.05,7417743.0,93084314.0,89536619.0,275525371.0,229130722.0,850,0.006354940586
0001026655-18-000007,0.0,20161231.0,13245000.0,44764000.0,26066000.0,35000.0,82557000.0,167500000.0,4316000.0,235580000.0,0.0,111376000.0,235775000.0,497616000.0,409629000.02,920,0.007110556555
0001027884-18-000013,0.0,20161231.0,29314000.0,774449000.28,654509000.0,1668965000.0,998009000.0,2177444141.57,4572955000.0,22941343000.0,49247000.0,16330289000.0,1694290000.0,17555854000.0,13826469000.0,1488,0.007786914281
0001027884-18-000045,0.0,20161231.0,-115045000.0,774449000.28,654509000.0,1802656000.0,1044589000.0,2489335019.47,5453726000.0,20927187000.0,-363919000.0,16077972000.0,1921712000.0,18345872000.0,14200834000.0,1500,0.005882443488
0001028918-18-000042,0.0,20161231.0,22738690000.0,16484000.0,63447000.0,40972000.0,16481000.0,1002462000.0,203872000.0,5788211000.0,299068000.0,7162854000.0,63418000.0,9937000.0,7579418000.02,1754,0.0030442703700000002
0001028954-18-000002,0.0,20161231.0,4925671000.0,-118530000.0,9140000.0,6222000.0,9688000.0,101706044.3,2820000.0,1010551044.82,176761000.0,1898249000.0,28115000.0,68000.0,1732296000.1599998,1128,0.01097111654
0001029145-18-000004,0.0,20161231.0,46455000.0,261108000.0,-23053000.0,63470000.0,241731000.0,699484004.2,0.0,2792572006.11,490011000.0,3368063000.0,5346427000.0,545377000.0,4905438000.0,1274,0.001604962579
0001029199-18-000015,0.0,20161231.0,609090000.0,995122000.0,391524000.0,1966334000.0,472028000.0,4240011036.2,2452071000.0,6608680039.71,2675847000.0,4986505000.0,1001548000.0,2532070000.0,6221547000.04,1218,0.002724139214
0001029730-18-000002,0.0,20161231.0,142876000.0,89385000.0,13753000.0,200836000.0,104761000.0,1708355001.91,614165000.0,738323000.0,30567000.0,249286000.0,76637000.0,2758235000.0,1741120000.0002,1236,0.001256022612
0001029744-18-000006,0.0,20161231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9307000.0,0.0,856,0.006099476609
0001029744-18-000030,0.0,20161231.0,-1077000.0,-1367000.0,-828000.0,437000.0,362000.0,17609000.0,140000.0,-889000.0,6922000.0,-30000.0,2032000.0,19419000.0,-3949000.0,512,0.00962804444
0001029831-18-000006,0.0,20161231.0,269088000.0,-18838000.0,77399000.0,97312000.0,177108000.0,464540000.0,2588459000.0,2541913000.0,16500000.0,4184073000.0,751668000.0,1001784000.0,2678553000.0200005,842,0.005820142694
0001030469-18-000021,0.0,20161231.0,17407640000.0,2148837000.24,78512000.0,141388000.0,78995000.0,4960760043.190001,98206000.0,24623157049.7,1910612000.0,10864651000.0,292053000.0,-17074000.0,22618460001.0,2172,0.006418766748999999
0001031029-18-000025,0.0,20161231.0,114450000.0,-3403000.0,10937000.0,7368000.0,122040000.0,287630004.61,17001000.0,281017002.82,303111000.0,144265000.0,187267000.0,384327000.0,200864000.01,880,0.0013248465570000001
0001031203-18-000013,0.0,20161231.0,5755841000.0,-156739999.09000003,769714000.0,9601185000.0,418889000.0,19241956000.0,2429088000.0,23597285067.25,158014000.0,5770516000.0,6434814000.0,44677818000.0,22097991000.02,1982,0.0036299664299999997
0001031296-18-000015,0.0,20161231.0,7096000000.0,-5631999999.639999,5128000000.0,-1528000000.0,32796000000.0,110760000044.6,6874000000.0,101183000000.0,4510000000.0,57363000000.0,143722000000.0,60601000000.0,80218000001.54001,3372,0.001908963683
0001031623-18-000014,0.0,20161231.0,293989000.0,73239000.0,14568000.0,49517000.0,302184000.0,284601000.0,0.0,466457000.0,0.0,118650000.0,726623000.0,609197000.0,858472000.0,706,0.021230631639999997
0001032220-18-000011,0.0,20161231.0,4213000.0,66454000.045,71140000.0,-14575000.0,14562000.0,26043000.0,11170000.0,26569000.0,65385000.0,62830000.0,65398000.0,1060214000.0,917323000.0,376,0.022350771329999998
0001032975-18-000007,0.0,20161231.0,139414000.0,570618000.5699999,240647000.0,180644000.0,32479000.0,1253055000.0,1521204000.0,61994000.0,26267000.0,-19850000.0,123513000.0,2377582000.0,1536184000.57,708,0.00787438545
0001033012-18-000025,0.0,20161231.0,34680000000.0,16521000000.0,-16360000000.0,76000000.0,321000000.0,2601000320.0,0.0,41019000000.0,16926000000.0,22455000000.0,960000000.0,1157000000.0,29189000000.01,1664,0.008704420879
0001033905-18-000014,0.0,20161231.0,97001000.0,87622000.0,49681000.0,65826000.0,106991000.0,468542000.0,396539000.0,1183556007.86,5092000.0,174981000.0,335202000.0,350186000.0,1326096000.002,1028,0.009369765644
0001034054-18-000003,0.0,20161231.0,117868000.0,270434000.0,742525000.0,123436000.0,6471431000.0,2792521341.13,11967260000.0,18425642141.55,2388116000.0,36719034000.0,8403508000.0,4109695000.0,4907195000.01,1386,0.0038755808169999998
0001035002-18-000010,0.0,20161231.0,19648000000.0,3412000002.4,4820000000.0,26094000000.0,16349000000.0,79283000000.0,148000000.0,115799000000.0,2169000000.0,27941000000.0,76866000000.0,173163000000.0,157122000000.01,1188,0.01595053629
0001035201-18-000003,0.0,20161231.0,284922000.0,-364421999.1375,316961000.0,706483000.0,1970275000.0,1944678000.0,44289000.0,7237499000.0,370837000.0,4109053000.0,12426045000.0,1403375000.0,9396400000.01,1668,0.003907440942
0001035267-18-000013,0.0,20161231.0,468600000.0,79200000.0,1087000000.0,518400000.0,473300000.0,4383800148.360001,871600000.0,17906000000.0,580900000.0,1636700000.0,2595000000.0,7460300000.0,24902100000.002003,1190,0.003095090665
0001035443-18-000028,0.0,20161231.0,723096000.0,-4239511000.0,786974000.0,4004703000.0,2552603000.0,4645533000.0,76321000.0,38931559000.0,12900128000.0,13084220000.0,19085155000.0,3528202000.0,96463376000.01,2162,0.002118548082
0001035748-18-000007,0.0,20161231.0,69439000.0,182066000.0,29838000.0,50028000.0,44220000.0,495443000.0,188830000.0,1055301000.0,117786000.0,322342000.0,161927000.0,613450000.0,950197000.002,956,0.008905637579999999
0001036848-18-000004,0.0,20161231.0,25748200.0,-27461900.0,11344500.0,164070800.0,50919000.0,57268300.0,0.0,254872000.0,31300000.0,189902200.0,277410200.0,77667500.0,350937700.002,478,0.008169577939
0001037016-18-000010,0.0,20161231.0,0.0,33900000.0,0.0,76800000.0,0.0,37100000.0,48520000.0,-1599998.52,0.0,0.0,164600000.0,54600000.0,0.0,198,0.02827142263
0001037038-18-000005,0.0,20161231.0,-217500000.0,1549600000.0,850700000.0,98400000.0,595500000.0,7606200000.0,24100000.0,1801400000.0,4444700000.0,3851300000.0,3161800000.0,6786500000.0,3742800002.0,838,0.003349601028
0001037646-18-000006,0.0,20161231.0,521373000.0,108267000.0,478458000.0,586927000.0,492213000.0,2370155563.38,1281392000.0,7492515516.26,927786000.0,5681431000.0,2535504000.0,8334800000.0,10269807827.66,1418,0.002492164182
