adsh,fraud,AccountsReceivable,Cash,CashFlowfromOps,CurrentLiabilities,Depreciation,Expenses,IntangibleAssets,OtherCurrentAssets,OtherIncome,OtherLiabilities,PPE,Sales,ShareholdersEquity,sum_of_first_digits,total_deviation,TotalCurrentAssets,CurrentRatio,TotalLiabilities,DebtToEquityRatio,NetIncome,ProfitMargin,ReceivableTurnover,CollectionRatio,DSRI,TotalAssets,AQI,DEPI,TATA
0000004969-18-000006,0.0,252801000000.0,-1197000000.0,1313000000.0,0.0,0.0,4647000000.0,0.0,72728000000.0,27874000000.0,283096200000.0,0.0,4365000000.0,81671000000.2,794,0.004974300791,324332000000.0,inf,283096200000.0,3.4663001554934647,-282000000.0,-0.06460481099656358,0.017266545622841682,21139.144329896906,57.91546391752577,324332000000.0,0.0,,-0.004917800278726737
0000004977-18-000054,0.0,3158000000.0,243691000000.0,18891000000.0,34039000000.0,1557000000.0,359713000878.87,0.0,1034703000037.44,13844000000.0,651315000000.0,14510000000.0,174241000000.0,473941000087.98,1682,0.004837314195,1281552000037.44,37.649519669715325,685354000000.0,1.4460745111158866,-185472000878.87,-1.0644567058205014,55.174477517416086,6.6153775517817275,0.018124322059675967,1296062000037.44,0.0,0.09690670318043194,-0.15767995734229262
0000005272-18-000022,0.0,215874000000.0,95264000003.37,5673000000.0,54028000000.0,12593000000.0,3816188000125.8,41708000000.0,4893002000000.0,575635000000.0,2965639000000.0,120620000000.0,863897000000.0,4216945000008.37,3206,0.001855929511,5204140000003.37,96.32301769459114,3019667000000.0,0.7160792943692664,-2952291000125.8,-3.417410872043542,4.0018575650611,91.2076439668155,0.24988395607346708,5366468000003.37,0.007771964726142722,0.09453281586631936,-0.5511938206142182
0000005513-18-000016,0.0,13979500000.0,-868900000.0,3557600000.0,6571900000.0,2361700000.0,653670400047.0701,673700000.0,161818500000.0,3442100000.0,271253700000.0,32313000000.0,80476600000.0,194268900082.09006,1582,0.01013746036,174929100000.0,26.617736118930598,277825600000.0,1.4301084727540143,-573193800047.0701,-7.122490264835617,5.756758110089774,63.40374096321167,0.17370887935126483,207915800000.0,0.0032402539874314407,0.06811017831444828,-2.773966192309916
0000006201-18-000009,0.0,3344000000.0,-13115000000.0,17517000000.0,21433000000.0,57936000000.0,254115000164.85,18637000000.0,207598000000.0,36344000000.0,142660000000.0,274091000000.0,365275000000.0,346439000002.42004,1178,0.005113147215,197827000000.0,9.230019129379928,164093000000.0,0.47365625694235847,111159999835.15,0.3043186635689549,109.23295454545455,3.34148244473342,0.009154746423927178,490555000000.0,0.037991662504714085,0.17449183349546873,0.19089194857895647
0000006281-18-000018,0.0,1398714000.0,13946900000.87,937263000.0,7419502000.0,4539503000.0,5192293000.0,50926704000.0,83376111000.0,2223974000.0,38140386000.0,15830070000.0,2503073000.0,83814595002.3334,508,0.02120300023,98721725000.87,13.305707714732065,45559888000.0,0.5435794087978545,-2689220000.0,-1.0743673876071533,1.7895531180784634,203.96153448181497,0.5587987246077122,165478499000.87,0.3077542055764735,0.22285705252633425,-0.021915131100995387
0000006845-18-000002,0.0,471747000.0,53786000.0,139054000.0,139820000.0,64044000.0,1949499767.34,1708609000.0,3049452250.59,315927000.0,1483291000.0,1010820000.0,5342816000.0,4124009000.66,718,0.005021340559,3574985250.59,25.568482696252325,1623111000.0,0.3935760081368008,3393316232.66,0.6351175546116504,11.325596135216546,32.22788413450884,0.0882955729712571,6294414250.59,0.2714484512740555,0.0595833519403385,0.5170079538941952
0000006951-18-000008,0.0,5039000000.0,35277000000.0,2267000000.0,10177000000.0,4766000000.0,25288000085.21,15922000000.0,102054000000.0,2272000000.0,54786000000.0,9552000000.0,14487000000.0,165550000000.1,568,0.01037012088,142370000000.0,13.989387835314925,64963000000.0,0.3924071277557279,-10801000085.21,-0.7455649951825775,2.874975193490772,126.95761717401808,0.34782908814799474,167844000000.0,0.09486189556969571,0.3328677189551613,-0.07785801151789756
0000006955-18-000003,0.0,415795000.0,640576000.0,-7995000.0,374512000.0,378814000.0,563928000.0,2853235000.0,4877482000.0,-8055000.0,6109514000.0,1311313000.0,554748000.0,8106420000.0,486,0.029135242999999998,5933853000.0,15.844226620241807,6484026000.0,0.7998630714914845,-9180000.0,-0.016548054251660213,1.334186317776789,273.5749835961554,0.7495205030031654,10098401000.0,0.2825432462030375,0.22413345269319998,-0.00011734531041102448
0000007039-18-000003,0.0,145720000.0,-90022000.0,98907000.0,108388000.0,318366000.0,708631000.0,384405000.0,43904000.0,49082000.0,1021826000.0,986586000.0,1862238000.0,2002156000.2,898,0.009836758704,99602000.0,0.918939365981474,1130214000.0,0.5644984705922517,1153607000.0,0.6194734507619327,12.779563546527587,28.56122579391034,0.07824993368194613,1470593000.0,0.26139455308164805,0.24396759421036177,0.7171936762924888
0000007084-18-000012,0.0,119347000000.0,14084000003.599997,5948000000.0,77242000000.0,33488000000.0,9186000155.68,22112000000.0,414992000000.13,3546000000.0,105478999999.99,137563000000.0,658219000000.0,251707000000.0,1420,0.005921654968,548423000003.73,7.100062142406074,182720999999.99,0.7259273679317222,649032999844.32,0.9860441583186143,5.515170050357361,66.18109626127475,0.18131807194869792,708098000003.73,0.031227315992819582,0.19577786741965847,0.908186437245879
0000007332-18-000016,0.0,683000000.0,9113000000.0,3230000000.0,2066000000.0,83617000000.0,36100000044.89,0.0,28857000000.0,23111000000.0,47501000000.0,351949000000.0,16910000000.0,13130000000.02,1344,0.00181467775,38653000000.0,18.709099709583736,49567000000.0,3.7750952018221247,-19190000044.89,-1.1348314633287995,24.758418740849194,14.742460082791249,0.04039030159668835,390602000000.0,0.0,0.19197320268340504,-0.05739857974329368
0000007789-18-000013,0.0,166789774685.0,-681503000.0,1400957000.0,364791000.0,599896000.0,10216187794.32,2101379000.0,166129563112.37,12255684000.0,103847342000.0,1837930000.0,3191239000.0,97472318002.02,1830,0.004955392704,332237834797.37,910.7621481817533,104212133000.0,1.0691459394434462,-7024948794.32,-2.2013233086960895,0.01913330122321341,19076.687067319308,52.26489607484742,336177143797.37,0.006250808654816198,0.24607826809624642,-0.025063886554401494
0000008063-18-000006,0.0,756025000.0,20290000.0,165138000.0,585941000.0,272085000.0,2133999271.87,1619192000.0,3473152089.6,235634000.0,1534704000.0,1445395000.0,3281186000.0,4193471000.0,968,0.01303063342,4249467089.6,7.252380512031075,2120645000.0,0.5057016013703207,1147186728.13,0.34962563174717926,4.340049601534341,84.10042131107471,0.2304121131810266,7314054089.6,0.22138091681634697,0.15842105876050958,0.13426872649552796
0000008670-18-000003,0.0,4365600000.0,104561800000.0,1516200000.0,13341000000.0,706300000.0,127301400000.0,17500300000.0,307939800000.0,234000000.0,154005900000.0,5844000000.0,93517700000.0,145655600005.69998,898,0.005765911534,416867200000.0,31.24707293306349,167346900000.0,1.1489218402413033,-33783700000.0,-0.3612546074165639,21.421499908374564,17.038956261755796,0.04668207195001588,440211500000.0,0.039754299921742176,0.10782712242187381,-0.08018850030042378
0000008868-18-000013,0.0,13195300000.0,4609800000.24,435100000.0,2844400000.0,2107600000.0,6001100102.65,1011800000.0,42942100002.91,1355100000.0,19168800000.0,17720800000.0,54144200000.0,20963601015.5,1370,0.003719715337,60747200003.15,21.356771200657434,22013200000.0,1.0500676855910371,48143099897.35,0.889164488483531,4.103294354808152,88.95291647120096,0.2437066204690438,79479800003.15,0.012730278636331471,0.10629198523330173,0.600253144767088
0000009092-18-000002,0.0,136964000.0,100464002.23,190730000.0,85939000.0,271336000.0,882430000.0,574366000.0,1691585000.0,-25668000.0,336734000.0,1350694000.0,1970100000.0,2539705002.0,936,0.006629107309,1929013002.23,22.446304963171553,422673000.0,0.1664260217888093,1087670000.0,0.5520887264605857,14.384071726877135,25.375290594386072,0.06952134409420842,3854073002.23,0.1490283135964645,0.16728173954859035,0.23272522328482692
0000009346-18-000017,0.0,705565000.0,268318003.12,164276000.0,365628000.0,49781000.0,12886456022.12,0.0,3736778000.0,384702000.0,1883280000.0,6028170000.0,970506000.0,5822482000.0,1230,0.0029690514520000003,4710661003.12,12.883753440983732,2248908000.0,0.38624559079787624,-11915950022.12,-12.278079704937426,1.3755019027304358,265.3576845480605,0.7270073549261932,10738831003.119999,0.0,0.008190424700692717,-1.124910711287875
0000009984-18-000024,0.0,704313000.0,350048000.0,639041000.0,1148243000.0,1283799000.0,7424834234.030002,6953808000.0,15628645026.18,628024000.0,3448619000.0,3441147000.0,3936512000.0,13829026001.56,936,0.002730466274,16683006026.18,14.529159791246279,4596862000.0,0.3324067797313741,-3488322234.0300016,-0.8861454592365021,5.589151414214987,65.30508353588151,0.17891803708460688,27077961026.18,0.25680692845657005,0.27170659728174673,-0.15242518556103654
0000010048-18-000002,0.0,6676000.0,55854000.0,-2753000.0,5710000.0,148562000.0,8102000.0,0.0,128639000.0,248000.0,57700000.0,184219000.0,16608000.0,227760001.0,438,0.015037464269999998,191169000.0,33.47968476357268,63410000.0,0.27840709396554664,8506000.0,0.5121628131021194,2.487717195925704,146.72085741811176,0.4019749518304432,375388000.0,0.0,0.4464257274303521,0.029992967276524556
0000010795-18-000008,0.0,4019000000.0,17194000000.0,570000000.0,8636000000.0,10153000000.0,9638000000.0,79585000000.0,177460000000.0,9103000000.0,63596000000.0,31171000000.0,6002000000.0,200682000001.48,382,0.02061682423,198673000000.0,23.00521074571561,72232000000.0,0.3599326297299573,-3636000000.0,-0.6057980673108964,1.4934063199800947,244.40769743418858,0.6696101299566811,309429000000.0,0.25719955143183093,0.2456925757429097,-0.013592778957369865
0000011199-18-000012,0.0,932000000.0,35200003.47999999,1375200000.0,1876400000.0,3730600000.0,10979100000.0,5127600000.0,24970200000.0,215300000.0,13531100000.0,15457900000.0,32294600000.0,23309600000.2,1074,0.006138916894,25937400003.48,13.8229588592411,15407500000.0,0.6609937536408947,21315500000.0,0.660032946684585,34.650858369098714,10.533649588476091,0.02885931394103039,46522900003.479996,0.11021668897717996,0.19441853193318914,0.4286125757102079
