,,,value,value,value,value,value,value,value
tag,,,CurrentAssets,Expenses,Goodwill,Income,Liabilities,LongtermAssets,ShareholdersEquity
fraud,adsh,ddate,,,,,,,
0.0,0001104659-18-017478,20170630.0,,,,78216000.0,,,2227000.0
0.0,0001104659-18-017478,20170930.0,,,,84514000.0,,,3057000.0
0.0,0001104659-18-017478,20171031.0,,,0.0,,,,
0.0,0001104659-18-017478,20171231.0,595652000.1,275035000.0,27522000.0,595408000.0,476971000.0,237802000.0,219302001.0
0.0,0001104659-18-017491,20161031.0,2113151000.0,,,,1000170000.0,1250860000.0,1059633000.0
0.0,0001104659-18-017491,20161231.0,11131451000.0,718437000.0,,199526000.0,2382472000.0,2046886000.0,1109562000.01
0.0,0001104659-18-017491,20170331.0,,,,102962000.0,,,17939000.0
0.0,0001104659-18-017491,20170630.0,,,,89391000.0,,,13382000.0
0.0,0001104659-18-017491,20170930.0,,,,58690000.0,,,3581000.0
0.0,0001104659-18-017491,20171231.0,8683678000.0,1322204000.0,,317177000.0,1100638000.0,3064278000.0,657986000.02
0.0,0001104659-18-017694,20140630.0,51179000.0,,,,,,2957000.0
0.0,0001104659-18-017694,20150630.0,592622000.64,84307000.0,,94288000.0,-7622000.0,71275000.0,269540000.0
0.0,0001104659-18-017694,20151231.0,154645000.0,74747000.0,,-84965000.0,11971000.0,38696000.0,156782000.0
0.0,0001104659-18-017694,20161231.0,835081000.74,529315000.58,,-237769000.0,412045000.0,150766000.0,-234947000.0
0.0,0001104659-18-017694,20170630.0,,,,,,,140000.0
0.0,0001104659-18-017694,20170930.0,,,,,,550000.0,
0.0,0001104659-18-017694,20171231.0,760139000.35,828948002.94,,-171215000.0,765229000.0,254477000.0,-50858000.0
0.0,0001104659-18-018361,20130131.0,,3313146.0,,70500000.0,1400000.0,,
0.0,0001104659-18-018361,20130731.0,,50625.0,,,,,
0.0,0001104659-18-018361,20141231.0,25007217.0,,,,,,55413151.0
0.0,0001104659-18-018361,20151231.0,-32260294.0,78372119.0,,-136969916.0,5012876.0,9970529.0,185593683.0
0.0,0001104659-18-018361,20160229.0,,69750.0,,,,,
0.0,0001104659-18-018361,20160331.0,,,,-9048544.0,,,
0.0,0001104659-18-018361,20160630.0,,,,-9322143.0,,,
0.0,0001104659-18-018361,20160930.0,,,,-9923222.0,,,
0.0,0001104659-18-018361,20161231.0,333994230.0,83458984.0,,-149155545.0,108384952.0,71633490.0,85563183.00019997
0.0,0001104659-18-018361,20170331.0,,,,-14566010.0,,,
0.0,0001104659-18-018361,20170630.0,,,,-15456936.0,,,
0.0,0001104659-18-018361,20170930.0,,,,-16056147.0,,,
0.0,0001104659-18-018361,20171231.0,386074472.0,137079943.0,,-455777445.0,156896571.0,86832636.0,132033116.00019997
0.0,0001104659-18-018530,20151231.0,,12927876.0,,39979941.0,0.0,10522044.0,
0.0,0001104659-18-018530,20161231.0,241942102.0,7254500.0,,-21225229.0,126204447.0,-7849758.0,106406553.0
0.0,0001104659-18-018530,20171231.0,174428928.0,4891293.0,,8259981.0,89969742.0,2301609.0,70221971.0
0.0,0001104659-18-018532,20151231.0,,64259893.0,,39820157.0,0.0,1761160.0,
0.0,0001104659-18-018532,20161231.0,1896728910.0,37699766.0,,30693586.0,964391063.0,12540192.0,886903211.0
0.0,0001104659-18-018532,20171231.0,1425727750.0,26454463.0,,149203755.0,729147906.0,58936617.0,673382372.0
0.0,0001104659-18-019104,20160531.0,31200000.0,,,,,,-44400000.0
0.0,0001104659-18-019104,20161130.0,,,,,,,-46500000.0
0.0,0001104659-18-019104,20170228.0,-1900000.0,2416500000.0,,4395100002.88,71900000.0,568200000.0,24600000.0
0.0,0001104659-18-019104,20170531.0,4847200000.0,2000000.0,115400000.0,,2876100000.0,709200000.0,2388000002.0
0.0,0001104659-18-019104,20171130.0,,,,,,,-36800000.0
0.0,0001104659-18-019104,20180228.0,4869100000.0,2609800000.0,119600000.0,4482500001.07,2966200000.0,1377000000.0,2486000002.0
0.0,0001104659-18-019592,20141231.0,6463450000.0,,,,34893000.0,,6525858000.0
0.0,0001104659-18-019592,20151231.0,-11852034995.779999,1153226000.0,,867297691000.0,525918602000.0,958026000.0,24483015000.0
0.0,0001104659-18-019592,20161231.0,218460219004.73,18513331000.0,,775437352000.0,2267009301000.0,1046554000.0,35556817100.0
0.0,0001104659-18-019592,20171231.0,218223095005.54,21330418000.0,,1075912731000.0,3869664457000.0,2985217000.0,44411243100.0
0.0,0001104659-18-019873,20170630.0,312500.0,1686.0,,-1686.0,267000.0,,21628.0
0.0,0001104659-18-019873,20170731.0,,,,,,,26132830.0
0.0,0001104659-18-019873,20170930.0,470483779.0,145792.0,,260825.0,16459008.0,976806.0,450061354.0
0.0,0001104659-18-019873,20171231.0,945736895.0,20262751.0,,471482683.0,483613443.0,5340492.0,1777511617.0001001
0.0,0001104659-18-019916,20150630.0,4563165.0,,,,,,3439084.0
0.0,0001104659-18-019916,20160531.0,0.36,,,,,,
0.0,0001104659-18-019916,20160630.0,85020876.0,39705692.0,1870924.0,-33997276.0,51451203.0,6066917.0,-22264595.9999
0.0,0001104659-18-019916,20161231.0,-331010.0,18346729.0,,-13138390.0,,3452025.0,-20552771.0
0.0,0001104659-18-019916,20170630.0,115519110.0,37341998.0,1870924.0,-33513106.0,42852539.0,7704270.0,17395088.0001
0.0,0001104659-18-019916,20171231.0,40490254.0,19499475.0,1870924.0,-18917704.0,29446224.0,3538356.0,-15523653.999899998
0.0,0001104659-18-020483,20151231.0,51887.0,,3283454.0,,,,22271856.0
0.0,0001104659-18-020483,20161231.0,174325143.0,35636091.0,3283454.0,233644032.0,171465883.0,48978937.0,29071653.009999998
0.0,0001104659-18-020483,20171231.0,166037588.0,35464841.0,3283454.0,218437296.0,173780044.0,61063496.0,19770375.009999998
0.0,0001104659-18-020760,20141231.0,75358000.0,,,,,,43183000.0
0.0,0001104659-18-020760,20151231.0,-27898000.0,552642000.0,,858042000.0,1908000.0,94522000.0,-23079000.0
0.0,0001104659-18-020760,20160531.0,,,,,,,10000000.0
0.0,0001104659-18-020760,20161231.0,522109000.0,661558000.0,690000.0,954195000.0,295352000.0,52926000.0,4429000.000099987
0.0,0001104659-18-020760,20171231.0,336906000.0,704890000.0,690000.0,955479000.0,286830000.0,62933000.0,-82987999.99990001
0.0,0001104659-18-021202,20151231.0,,,,,,,1900000000.0
0.0,0001104659-18-021202,20161231.0,,,,,,,1500000000.0
0.0,0001104659-18-021202,20171231.0,,,,,,,1100000000.0
0.0,0001104659-18-021281,20161031.0,11449000.0,,,,,,90175000.0
0.0,0001104659-18-021281,20161231.0,,,,,,,0.0001
0.0,0001104659-18-021281,20171231.0,,,,,,,0.0001
0.0,0001104659-18-021282,20161231.0,1522552.0,193964.0,,-4000.0,1813208.0,0.0,93500.0001
0.0,0001104659-18-021282,20170331.0,22700000.0,,,2000000.0,300000.0,1035000000.0,
0.0,0001104659-18-021282,20171231.0,2122417934.0,7854019.0,,1058966228.0,1095982232.0,1047833602.0,3178847846.0011
0.0,0001104659-18-021283,20151231.0,,5659725.0,,-26442817.0,0.0,-11681091.0,
0.0,0001104659-18-021283,20161231.0,235601860.0,5423298.0,,-12869635.0,123676202.0,71280547.0,114938294.0
0.0,0001104659-18-021283,20171231.0,146665726.0,2886798.0,,8272717.0,77478217.0,105962109.0,71740186.0
0.0,0001104659-18-021288,20151231.0,1466400000.0,,,,2008100000.0,,-31300000.0
0.0,0001104659-18-021288,20160331.0,,12000000.0,,563400000.0,,,
0.0,0001104659-18-021288,20161231.0,19559600000.0,5238300000.0,162700000.0,6703099999.84,21678800000.0,14301500000.0,-2427300000.0
0.0,0001104659-18-021288,20170531.0,260000000.0,,,,,,
0.0,0001104659-18-021288,20170630.0,,,,,494700000.0,,
0.0,0001104659-18-021288,20171231.0,23118300000.0,4881300000.0,162700000.0,8764900000.71,22185500000.0,14686200000.0,-239800000.0
0.0,0001104659-18-021321,20151231.0,1717236000.0,,,,2134306000.0,738016000.0,410628000.0
0.0,0001104659-18-021321,20161231.0,2053378000.0,48841000.0,,-88228000.35,3634298000.0,1656420000.0,535756000.0
0.0,0001104659-18-021321,20171231.0,2177710000.0,340032000.0,,668710999.91,4683138000.0,2001239000.0,518248000.0
0.0,0001104659-18-021376,20080930.0,,,,,,,25000000.0
0.0,0001104659-18-021376,20140630.0,,,,,,,75000000.0
0.0,0001104659-18-021376,20151231.0,,31.4,,,,,
0.0,0001104659-18-021376,20161231.0,295264010.37,64.85,,,,,
0.0,0001104659-18-021376,20171231.0,3842757062.4100003,670025225.05,156995000.0,2100680000.0,3206190000.0,1059849000.0,3020312000.0
0.0,0001104659-18-021464,20160331.0,,,,772422.0,,,
0.0,0001104659-18-021464,20160630.0,,,,72191.0,,,
0.0,0001104659-18-021464,20160930.0,,,,362846.0,,,
0.0,0001104659-18-021464,20161231.0,1012262.0,178633.0,,1974040.0,676628.0,,
0.0,0001104659-18-021464,20170331.0,,,,404607.0,,,
0.0,0001104659-18-021464,20170630.0,,,,514634.0,,,
0.0,0001104659-18-021464,20170930.0,,,,684737.0,,,
0.0,0001104659-18-021464,20171231.0,1638654.0,176218.0,,4017689.0,1303020.0,,
0.0,0001104659-18-021487,20131231.0,,181566.0,,,,,
0.0,0001104659-18-021487,20141231.0,,,,,,,211209883.0
0.0,0001104659-18-021487,20151231.0,0.0,8844156.0,,40565800.29,,-3126138.63,343023902.0
0.0,0001104659-18-021487,20161231.0,804576935.0,12309947.0,,-45481289.97,395839074.0,-2792303.39,379246016.0
0.0,0001104659-18-021487,20171231.0,783869401.0,14845201.0,,108188830.91999999,383393950.0,767417.78,366701750.0
0.0,0001104659-18-021543,20151231.0,46961000.0,135000000.0,,70000.0,,,15589000.0
0.0,0001104659-18-021543,20160131.0,,,,,,,150000000.0
0.0,0001104659-18-021543,20161231.0,476961000.0,103848000.0,,-140334000.0,212291000.0,55230000.0,46675000.001999974
0.0,0001104659-18-021543,20171231.0,161479000.0,79770000.0,,-96050000.0,200950000.0,43490000.0,-67298419.96800002
0.0,0001107843-18-000003,20141231.0,79834000.0,188743012.93,,,,,151827000.0
0.0,0001107843-18-000003,20151231.0,154715000.0,379211096.54999995,,565091000.0,1126000.0,89818000.0,231836000.0
0.0,0001107843-18-000003,20160331.0,,,,58796000.0,,7765000.0,
0.0,0001107843-18-000003,20160630.0,,,,57756000.0,,5752000.0,
0.0,0001107843-18-000003,20160930.0,,,,64200000.0,,8217000.0,
0.0,0001107843-18-000003,20161231.0,1010151000.0,967449088.2900001,317000.0,880430000.0,718604000.0,520946000.0,299306000.002
0.0,0001107843-18-000003,20170331.0,,,,83160000.0,,8109000.0,
0.0,0001107843-18-000003,20170630.0,,,,71873000.0,,9369000.0,
0.0,0001107843-18-000003,20170930.0,,,,79462000.0,,11520000.0,
0.0,0001107843-18-000003,20171130.0,-200000.0,,,,,4600000.0,
0.0,0001107843-18-000003,20171231.0,1607122000.0,1415787157.1,1549000.0,1120886000.0,953746000.0,792141000.0,444155047.192
0.0,0001108134-18-000007,20141231.0,89021000.0,,,,2541000.0,,715866000.0
0.0,0001108134-18-000007,20151231.0,1940689000.0,443938000.0,323943000.0,2024083000.0,17413095000.0,721917000.0,910125000.76
0.0,0001108134-18-000007,20160331.0,,57879000.0,,237351000.0,,26227000.0,
0.0,0001108134-18-000007,20160630.0,,57845000.0,,234216000.0,,25728000.0,
0.0,0001108134-18-000007,20160930.0,,61384000.0,,247669000.0,,28068000.0,
0.0,0001108134-18-000007,20161231.0,38570002000.0,3752359000.0,403363000.0,3866521000.0,40120976000.0,4482960000.0,2673940000.81
0.0,0001108134-18-000007,20170331.0,,88149000.0,,306217000.0,,27317000.0,
0.0,0001108134-18-000007,20170630.0,,84644000.0,,317283000.0,,32820000.0,
0.0,0001108134-18-000007,20170930.0,,82882000.0,116181000.0,320842000.0,,35014000.0,
0.0,0001108134-18-000007,20171231.0,52493570000.0,4582204000.0,484787000.0,7123904000.0,41025084000.0,5504282000.0,3765050001.27
0.0,0001108205-18-000005,20020531.0,,,,,,,3000000.0
0.0,0001108205-18-000005,20021231.0,,,,,,,900000.0
0.0,0001108205-18-000005,20101130.0,4400000.0,,,,,,
0.0,0001108205-18-000005,20140228.0,1.2,3.09,,,,,
0.0,0001108205-18-000005,20140531.0,0.34,,,,,,
0.0,0001108205-18-000005,20140630.0,,1.75,,,,,
0.0,0001108205-18-000005,20141231.0,7747000.0,,,,,,29783000.0
0.0,0001108205-18-000005,20150228.0,,,,,,,64600000.0
0.0,0001108205-18-000005,20151231.0,139872001.70999998,134628000.0,0.0,-42572000.0,5937000.0,13943000.0,178643000.0
0.0,0001108205-18-000005,20160331.0,,,,-16522000.0,,,
0.0,0001108205-18-000005,20160630.0,,,,-20290000.0,,,
0.0,0001108205-18-000005,20160930.0,,,,-54375000.0,,,
0.0,0001108205-18-000005,20161231.0,900037001.11,173051002.3,8982000.0,-94943000.0,157563000.0,22061000.0,100410000.00999999
0.0,0001108205-18-000005,20170228.0,26600000.0,,,,,,
0.0,0001108205-18-000005,20170331.0,26600000.0,,,-28664000.0,,,
0.0,0001108205-18-000005,20170630.0,,,,-25138000.0,,,
0.0,0001108205-18-000005,20170930.0,,,,-27484000.0,,,
0.0,0001108205-18-000005,20171031.0,2000000.0,,,,,,
0.0,0001108205-18-000005,20171231.0,895894004.04,160031013.57999998,8982000.0,-50931000.0,236794000.0,24966000.0,98115000.00999999
0.0,0001108426-18-000011,20081231.0,,,260000000.0,,,,
0.0,0001108426-18-000011,20141231.0,289214000.0,,,,,,3656159000.0
0.0,0001108426-18-000011,20150331.0,,,51600000.0,,,,
0.0,0001108426-18-000011,20151231.0,7671702000.0,5098710000.0,278297000.0,4761442000.0,1373210000.0,1385453000.0,3994958000.8199997
0.0,0001108426-18-000011,20160331.0,,,278300000.0,749083000.0,,,
0.0,0001108426-18-000011,20160630.0,,,,865117000.0,,,
0.0,0001108426-18-000011,20160930.0,,,,1230036000.0,,,
0.0,0001108426-18-000011,20161231.0,26349960000.0,4894350000.0,556594000.0,7448355000.0,51802579000.0,41593645000.0,12692544210.9025
0.0,0001108426-18-000011,20170228.0,,-1100000.0,,,,,
0.0,0001108426-18-000011,20170331.0,,,,866292000.0,,,
0.0,0001108426-18-000011,20170630.0,,,,1043593000.0,,,
0.0,0001108426-18-000011,20170930.0,,,,1417913000.0,,,
0.0,0001108426-18-000011,20171231.0,28256874000.0,5031726000.0,556594000.0,8847621000.0,57972582000.0,42918351000.0,11430264210.9925
0.0,0001108524-18-000011,20130131.0,,,,6667216000.0,,,
0.0,0001108524-18-000011,20150131.0,1054305000.0,,,,,,3975183000.0
0.0,0001108524-18-000011,20160131.0,3710769073.61,11173056000.0,3849937000.0,23591125000.0,330857000.0,3528672000.0,5806585000.0
0.0,0001108524-18-000011,20160430.0,,,,3426970000.0,,,
0.0,0001108524-18-000011,20160731.0,,,,3809830000.0,,,
0.0,0001108524-18-000011,20161031.0,,,,3669755000.0,,,
0.0,0001108524-18-000011,20170131.0,49565899075.99,14348055059.88,10677755000.0,41375406000.0,45987983000.0,10120401000.0,16912482000.002
0.0,0001108524-18-000011,20170430.0,,,,4106514000.0,,,
0.0,0001108524-18-000011,20170731.0,,,,4521040000.0,,,
0.0,0001108524-18-000011,20171031.0,,,,4812556000.0,,,
0.0,0001108524-18-000011,20180131.0,58993626095.85,22161540401.629997,7364346000.0,49854271000.0,58398262000.0,19464784000.0,20347773126.403
0.0,0001108827-18-000006,20141231.0,6500100000.0,12600000.0,,,,,
0.0,0001108827-18-000006,20151231.0,33092100000.0,8674500000.0,14300000.0,-4308900000.0,-31900000.0,10307900000.0,47700000.08
0.0,0001108827-18-000006,20160331.0,,,,-3417000000.0,,261300000.0,
0.0,0001108827-18-000006,20160630.0,,,,-290700000.0,,333700000.0,
0.0,0001108827-18-000006,20160930.0,,,,-118700000.0,,382400000.0,
0.0,0001108827-18-000006,20161231.0,50707000000.0,19379200025.26,3700000.0,-8636200000.0,14433900000.0,96787300000.0,7824000000.01
0.0,0001108827-18-000006,20170331.0,,,,71600000.0,,420100000.0,
0.0,0001108827-18-000006,20170630.0,,,,64300000.0,,383700000.0,
0.0,0001108827-18-000006,20170930.0,,,,294100000.0,,390100000.0,
0.0,0001108827-18-000006,20171231.0,65647100015.33,18323900111.170002,5300000.0,3591500000.0,17520300000.0,90356400000.0,7679400000.01
0.0,0001109189-18-000036,20050430.0,,10000.0,,,,,
0.0,0001109189-18-000036,20151231.0,8900000.0,200000.0,,500000.0,,55800000.0,
0.0,0001109189-18-000036,20161231.0,1435005036.55,443580036.55,,0.0,2440905000.0,1549382000.0,832554000.02
0.0,0001109189-18-000036,20170331.0,,,,-8721000.0,,182019000.0,
0.0,0001109189-18-000036,20170630.0,,,,22917000.0,,213296000.0,
0.0,0001109189-18-000036,20170930.0,,,,48087000.0,,233460000.0,
0.0,0001109189-18-000036,20171231.0,2023789154.35,2178292230.4399996,0.0,166103000.0,2178859000.0,3802925000.0,55741000.01999998
0.0,0001109448-18-000011,20141231.0,566814000.0,,,,,,
0.0,0001109448-18-000011,20151231.0,1434745002.1799998,4287075000.0,,9944999004.21,97829000.0,3229367000.0,4770836000.0
0.0,0001109448-18-000011,20160331.0,,,,935410001.21,,,
0.0,0001109448-18-000011,20160630.0,,,,850307000.92,,,
0.0,0001109448-18-000011,20160930.0,,,,905626001.1600001,,,
0.0,0001109448-18-000011,20161231.0,22748261001.98,4706824000.0,3066700000.0,11308166006.61,17915463000.0,4939164000.0,9654420000.0
0.0,0001109448-18-000011,20170331.0,,,,904854001.03,,,
0.0,0001109448-18-000011,20170630.0,,,,937416001.0,,,
0.0,0001109448-18-000011,20170930.0,,,,953104001.05,,,
0.0,0001109448-18-000011,20171231.0,75287369002.39,5246355000.0,3066700000.0,12464156006.75,17738334000.0,7961837000.0,10108575000.0
0.0,0001109546-18-000006,20141231.0,190968002.68,6.51,,,,,119281000.0
0.0,0001109546-18-000006,20151231.0,105556008.69,81049042.93000002,,94308000.0,71385000.0,81526000.0,165209000.0
0.0,0001109546-18-000006,20160331.0,,9806000.0,,19609000.0,8283000.0,902000.0,284000.0
0.0,0001109546-18-000006,20160630.0,,10248000.0,,15620000.0,-240000.0,451000.0,-4710000.0
0.0,0001109546-18-000006,20160930.0,,11096000.0,,41193000.0,-1541000.0,556000.0,-30526000.0
0.0,0001109546-18-000006,20161231.0,5619515008.4,137789042.41999996,,39303000.0,3582126000.0,204831000.0,172176000.0
0.0,0001109546-18-000006,20170331.0,,10744000.0,,22694000.0,10071000.0,1830000.0,1781000.0
0.0,0001109546-18-000006,20170630.0,,10998000.0,,24023000.0,10396000.0,2565000.0,2501000.0
0.0,0001109546-18-000006,20170930.0,21700000.0,11196000.0,,27031000.0,12005000.0,3793000.0,3756000.0
0.0,0001109546-18-000006,20171231.0,6343404008.47,145030844.58999997,,168374000.0,4235823000.0,266672000.0,252529000.0
0.0,0001110783-18-000009,20160831.0,1904000000.0,,,,,,1737000000.0
0.0,0001110783-18-000009,20161130.0,4220000000.0,3200000000.0,,6471000000.139999,628000000.0,1198000000.0,-609000000.0
0.0,0001110783-18-000009,20170831.0,78299000000.0,11967000000.0,4088000000.0,3211000000.0,41697000000.0,25311000000.0,38724000002.17
0.0,0001110783-18-000009,20171130.0,91454000000.0,15114000000.0,4082000000.0,11132000000.76,43981000000.0,27124000000.0,38131000000.01
0.0,0001110803-18-000009,20141231.0,688000000.0,34.74,,16000000.0,,,1463000000.0
0.0,0001110803-18-000009,20151231.0,5285800000.0,3089000080.7999997,753000000.0,11053000000.0,208000000.0,1771000000.0,2875000000.0
0.0,0001110803-18-000009,20160331.0,,,,1147000000.0,,,
0.0,0001110803-18-000009,20160630.0,,,,1260000000.0,,,
0.0,0001110803-18-000009,20160930.0,,,,1279000000.0,,,
0.0,0001110803-18-000009,20161231.0,11710000000.0,6829000124.320001,799000000.0,12766000000.0,7097000000.0,4925000000.0,9008000000.02
0.0,0001110803-18-000009,20170228.0,58000000.0,,,453000000.0,,217000000.0,
0.0,0001110803-18-000009,20170331.0,,,,1681000000.0,,,
0.0,0001110803-18-000009,20170630.0,,,,1344000000.0,,,
0.0,0001110803-18-000009,20170930.0,,,,1511000000.0,,,220000000.0
0.0,0001110803-18-000009,20171231.0,16276000000.0,7606000143.170001,776000000.0,18487000000.0,9795000000.0,9815000000.0,12036000000.02
0.0,0001110805-18-000004,20141231.0,95720000.0,,,,,,1716210000.0
0.0,0001110805-18-000004,20151231.0,999286000.0,2149077000.0,2101364000.0,5575444009.9,5969542000.0,2579963000.0,2643165000.0
0.0,0001110805-18-000004,20160229.0,-2154000.0,,,,39651000.0,,6865000.0
0.0,0001110805-18-000004,20160331.0,,,,557669001.14,,,
0.0,0001110805-18-000004,20160630.0,,,,581538001.04,,,
0.0,0001110805-18-000004,20160930.0,,,,580513000.98,,,
0.0,0001110805-18-000004,20161231.0,14041682000.0,1761657000.0,2101364000.0,5097394003.190001,17713398000.0,13296816000.0,3829492000.0
0.0,0001110805-18-000004,20170331.0,117168000.0,,,642509000.98,,,
0.0,0001110805-18-000004,20170630.0,115083000.0,,,535142000.1,,,
0.0,0001110805-18-000004,20170930.0,115084000.0,,,570875000.3,,,
0.0,0001110805-18-000004,20171231.0,20316054000.0,1851409000.0,3303878000.0,6181262001.92,33453049000.0,15828076000.0,5697279000.0
0.0,0001111335-18-000004,20141231.0,864000054.64,,,38000000.0,,,1821000000.0
0.0,0001111335-18-000004,20150630.0,,,,153000000.0,,,
0.0,0001111335-18-000004,20151231.0,8399000313.72,5531000000.0,,25153000106.63,2121000000.0,1080000000.0,5272000043.4
0.0,0001111335-18-000004,20160331.0,,,,965000000.0,,,85000000.0
0.0,0001111335-18-000004,20160630.0,5000000.0,,,937000000.0,,,87000000.0
0.0,0001111335-18-000004,20160930.0,,,,935000000.0,,,55000000.0
0.0,0001111335-18-000004,20161231.0,10210000333.91,4667000000.0,103000000.0,5709000004.26,5492000000.0,2885000000.0,4851000000.02
0.0,0001111335-18-000004,20170331.0,,94.16,,1071000000.0,17000000.0,,534000000.0
0.0,0001111335-18-000004,20170630.0,5000000.0,1000096.13,,979000000.0,,,106000000.0
0.0,0001111335-18-000004,20170930.0,,14000000.0,,971000000.0,,,102000000.0
0.0,0001111335-18-000004,20171231.0,13026000348.939999,4473000110.63,94000000.0,5968000011.04,4941000000.0,3455000000.0,10017000000.02
0.0,0001111711-18-000008,20141231.0,49800000.0,,,,,,6124700000.0
0.0,0001111711-18-000008,20150131.0,,,,1168400000.0,,,
0.0,0001111711-18-000008,20150531.0,,,,,2750000000.0,,
0.0,0001111711-18-000008,20151231.0,13818100000.830002,7309500000.0,,19970800001.8,1480700000.0,3853200000.0,2071300001.0200005
0.0,0001111711-18-000008,20160331.0,,,,2191200001.16,,,
0.0,0001111711-18-000008,20160630.0,,,,1093600000.18,,,
0.0,0001111711-18-000008,20160930.0,,,,1029400000.16,,,
0.0,0001111711-18-000008,20161231.0,47346100000.64,6382700000.0,1690700000.0,20248000002.600002,62310100000.0,106686800000.0,9018200000.84
0.0,0001111711-18-000008,20170331.0,,,,2437700001.3,,,
0.0,0001111711-18-000008,20170630.0,,,,1026399999.72,,,
0.0,0001111711-18-000008,20170930.0,,,,1044600000.08,,,
0.0,0001111711-18-000008,20171130.0,,,,,500000000.0,,
0.0,0001111711-18-000008,20171231.0,51654500000.7,8877100000.0,1690700000.0,21424700000.46,100697100000.0,153364500000.0,9795700000.904999
0.0,0001111863-18-000007,20141231.0,207062000.0,,,,,,356862000.0
0.0,0001111863-18-000007,20151231.0,666380000.0,841175000.0,156488000.0,804906000.0,18386000.0,94276000.0,368197000.0
0.0,0001111863-18-000007,20161231.0,2098185000.0,837954000.0,151740000.0,963533000.0,1392588000.0,356653000.0,734389000.0
0.0,0001111863-18-000007,20171231.0,2310541000.0,981941000.0,282918000.0,1016592000.0,1494670000.0,436215000.0,1039610040.62
0.0,0001111928-18-000034,20141231.0,530534000.0,,,19272000.0,,,
0.0,0001111928-18-000034,20151231.0,1222515042.78,433056000.0,505000.0,3608632009.13,33708000.0,671446000.0,1550752000.0
0.0,0001111928-18-000034,20160331.0,,,,370984000.0,,,
0.0,0001111928-18-000034,20160630.0,,,,457548000.0,,,
0.0,0001111928-18-000034,20160731.0,,,,,,,100000.0
0.0,0001111928-18-000034,20160930.0,,,,480043000.0,,,
0.0,0001111928-18-000034,20161231.0,5803692033.08,511049060.65,39151000.0,4585414009.76,2486753000.0,2596653000.0,5246964087.0101
0.0,0001111928-18-000034,20170331.0,,,,518058000.0,,,
0.0,0001111928-18-000034,20170630.0,,,,679785000.0,,,
0.0,0001111928-18-000034,20170930.0,,,,732767000.0,,,
0.0,0001111928-18-000034,20171231.0,8351766038.01,1211374484.55,91834000.0,6584782012.86,3548378000.0,3075794000.0,7232594145.1502
0.0,0001113148-18-000004,20141231.0,307405000.0,,,,,,209472000.0
0.0,0001113148-18-000004,20151231.0,52329008.48,453637000.0,,-208640000.0,133967000.0,-77471000.0,118848000.0
0.0,0001113148-18-000004,20160331.0,,89521000.0,,-71659000.0,,10836000.0,
0.0,0001113148-18-000004,20160630.0,,121893000.0,,115703000.0,,15692000.0,
0.0,0001113148-18-000004,20160930.0,,33053000.0,,-38255000.0,,7120000.0,
0.0,0001113148-18-000004,20161130.0,,,,,,1800000.0,
0.0,0001113148-18-000004,20161231.0,896062003.75,357104012.06,,-50139000.0,329370000.0,109577000.0,179238000.0020001
0.0,0001113148-18-000004,20170331.0,,14817000.0,,-20647000.0,,-4038000.0,
0.0,0001113148-18-000004,20170630.0,,21189000.0,,-33574000.0,,-10749000.0,
0.0,0001113148-18-000004,20170930.0,,23468000.0,,-7182000.0,,-2599000.0,
0.0,0001113148-18-000004,20171231.0,614987001.1700001,92849029.72999999,,-54239000.0,232035000.0,-19087000.0,102712000.0020001
0.0,0001113169-18-000009,20141231.0,1511700000.0,,,,,,5395200000.0
0.0,0001113169-18-000009,20151231.0,769500700017.35,5780800000.0,,7534500000.0,97300000.0,8314100000.0,18356000000.0
0.0,0001113169-18-000009,20160331.0,,,,617400000.0,,994100000.0,
0.0,0001113169-18-000009,20160630.0,,,,414500000.0,,1044700000.0,
0.0,0001113169-18-000009,20160930.0,,,,690500000.0,,1092900000.0,
0.0,0001113169-18-000009,20161231.0,1602697700082.81,6026800061.9,665700000.0,8151800000.0,7667700000.0,15169800000.0,22204400000.4
0.0,0001113169-18-000009,20170331.0,,,,786300000.0,,1113600000.0,
0.0,0001113169-18-000009,20170630.0,,,,763900000.0,,1171600000.0,
0.0,0001113169-18-000009,20170930.0,,,,795100000.0,,1221700000.0,
0.0,0001113169-18-000009,20171231.0,1918128800226.4602,7849300335.03,665700000.0,10740700000.0,9694700000.0,17741300000.0,26643100000.4
0.0,0001113256-18-000014,20160930.0,160000000.0,,,44000000.0,,,-995000000.0
0.0,0001113256-18-000014,20161231.0,24000000.0,621000000.0,,952000000.34,0.0,85000000.0,-1102000000.0
0.0,0001113256-18-000014,20170930.0,6833000000.0,765000000.0,859000000.0,90000000.0,10405000000.0,3865000000.0,342000000.0
0.0,0001113256-18-000014,20171231.0,6053000000.0,1539000000.0,415000000.0,1239999999.1799998,9105000000.0,3995000000.0,138000000.0
0.0,0001113481-18-000017,20120531.0,,,,,,,50000000.0
0.0,0001113481-18-000017,20130630.0,,,,,,,50000000.0
0.0,0001113481-18-000017,20141231.0,378763000.0,,,,,,920091000.0
0.0,0001113481-18-000017,20151231.0,715160011.18,718812000.0,,-1553432010.56,471293000.0,374345000.0,299945000.0
0.0,0001113481-18-000017,20160331.0,,104248000.0,,-122781001.34,,,-58173000.0
0.0,0001113481-18-000017,20160630.0,,120817000.0,,425518002.51,,,-72244000.0
