adsh,fraud,ddate,AccountsReceivable,Cash,CashFlowfromOps,CurrentLiabilities,Depreciation,Expenses,IntangibleAssets,OtherCurrentAssets,OtherIncome,OtherLiabilities,PPE,Sales,ShareholdersEquity,sum_of_first_digits,total_deviation,TotalCurrentAssets,CurrentRatio,TotalLiabilities,DebtToEquityRatio,NetIncome,ProfitMargin,ReceivableTurnover,CollectionRatio,DSRI,TotalAssets,AQI,DEPI,TATA
0000316300-18-000004,0.0,20161231.0,102155000.0,-45940000.0,-2514000.0,209928000.0,75982000.0,1412473000.0,286802000.0,4930524000.0,404897000.0,3530448000.0,9951297000.0,-67189000.0,-1078253999.9989998,1100,0.0034956441590000002,4986739000.0,23.754520597538203,3740376000.0,-3.4689191971497157,-1479662000.0,22.022384616529493,-0.6577162155547942,-554.9505871496822,-1.520412567533376,15224838000.0,0.018837770227834283,0.007577529257937273,-0.09702224746168071
0000316709-18-000009,0.0,20161231.0,75813000000.0,16681000000.0,5154000000.0,79460000000.0,2480000000.0,91856000022.12,2284000000.0,730968000008.73,8437000000.0,372414000000.0,27176000000.0,10275000000.0,447184250071.6,1658,0.010372301779999999,823462000008.73,10.363226780880066,451874000000.0,1.0104872877961357,-81581000022.12,-7.939756693150365,0.13553084563333465,2693.113868613139,7.378394160583942,852922000008.73,0.0026778533089504286,0.08362557323981656,-0.1016915966773424
0000318154-18-000004,0.0,20161231.0,3379000000.0,-2741999999.0,10354000000.0,15633000000.0,10190000000.0,25818000000.0,93928000000.0,201896000000.0,7639000000.0,101453000000.0,35082000000.0,51645000000.0,159440000000.0001,1154,0.003597871748,202533000001.0,12.955478794921001,117086000000.0,0.7343577521324632,25827000000.0,0.5000871333139704,15.284107724178751,23.881014619033788,0.06542743731242134,331543000001.0,0.28330563456238467,0.2250839370913589,0.04666966275853609
0000318300-18-000089,0.0,20161231.0,4665788000.0,-65969000.0,60337000.0,22910000.0,70267000.0,601710000.0,194101000.0,4740499000.0,273518000.0,5852969600.0,159739000.0,1047000.0,4375326000.0,1624,0.006190249279,9340318000.0,407.6961152335225,5875879600.0,1.3429581247203066,-600663000.0,-573.6991404011461,0.00022439939405733824,1626564.1069723016,4456.3400191021965,9694158000.0,0.020022471265683905,0.3055007260680156,-0.06818539578166562
0000318833-18-000013,0.0,20161231.0,531115000.0,18822000.0,79564000.0,300328000.0,245241000.0,964199197.58,941581000.0,2077136000.0,19707000.0,1803825000.0,967813000.0,1519954000.0,2907966000.3,1598,0.003756646055,2627073000.0,8.747346234783304,2104153000.0,0.7235823939423381,555754802.42,0.3656392248844373,2.861817120585937,127.54134335644369,0.3494283379628594,4536467000.0,0.20755821655927398,0.2021682464259629,0.104969528582485
0000318996-18-000007,0.0,20161231.0,79033000.0,115590000.0,-417000.0,195721000.0,140213000.0,51277033.67,99131000.0,2214542085.0399995,0.0,599228000.0,902931000.0,0.0,1619118000.02,934,0.005732098776,2409165085.0399995,12.309180338543127,794949000.0,0.49097656871838896,-51277033.67,0.0,0.0,0.0,0.0,3411227085.0399995,0.029060217197131477,0.1344138489029319,-0.014909600680953677
0000319201-18-000008,0.0,20161231.0,175844000.0,449536000.0,392190000.0,23002000.0,29314000.0,719910000.0,2300000.0,176966028.10000002,117629000.0,30645000.0,307164000.0,5923752000.0,865299001.6,1004,0.0065363462749999995,802346028.1,34.8815767368055,53647000.0,0.06199822246507027,5203842000.0,0.8784706044412393,33.68754122972635,10.83486614564553,0.029684564782590492,1111810028.1,0.0020686987361775433,0.08712010889270622,4.3277645266635645
0000319815-18-000006,0.0,20161231.0,1059000.0,65433000.0,-14357000.0,56460000.0,78126000.0,191143008.97,23899000.0,664476000.02,20486000.0,90420000.0,170583000.0,152241000.0,321727000.1,1080,0.00441062181,730968000.02,12.946652497697485,146880000.0,0.4565361314230586,-38902008.97,-0.25552912139305445,143.75920679886684,2.5389678207578776,0.006956076221254459,925450000.02,0.02582419363497057,0.31412614742530426,-0.02652224211947653
0000320017-18-000021,0.0,20161231.0,240656.0,49028272.0,-47335364.0,9028561.0,2222266.0,53311151.0,429000.0,455435453.0,11560394.0,84743199.0,17866033.0,0.0,-16927841.989000022,672,0.005167734278,504704381.0,55.90086626207653,93771760.0,-5.539498777276771,-53311151.0,0.0,0.0,0.0,0.0,522999414.0,0.0008202686055017727,0.11062489661269977,-0.011425991769849287
0000320193-18-000007,0.0,20161231.0,-1322000000.0,-6847000000.0,27234000000.0,2460000000.0,2987000000.0,66491000000.0,86000000.0,10232000000.0,7418000000.0,3833000000.0,7280000000.0,78393000000.0,37358000000.57,552,0.0029730060119999998,2063000000.0,0.8386178861788618,6293000000.0,0.168451201881899,11902000000.0,0.15182478027374893,-59.29878971255673,-6.1552689653412935,-0.016863750589976145,9429000000.0,0.009120797539505787,0.29093211259374696,-1.626047300880263
