fraud,adsh,ddate,CurrentAssets,Expenses,Goodwill,Income,Liabilities,LongtermAssets,ShareholdersEquity,
0,0000004904-18-000009,20160331,,,,9688800002,,,1039300000,
0,0000004904-18-000009,20160630,,,,9576200002,,,1058200000,
0,0000004904-18-000009,20160930,,,,7849499997,,,-1474500000,
0,0000004904-18-000009,20161231,254397900000,55783800000,52500000,86830000004,486618900000,386819700000,81128000042,
0,0000004904-18-000009,20170331,,,,10041000002,,,608500000,
0,0000004904-18-000009,20170630,,,,8897400002,,,399500000,
0,0000004904-18-000009,20170930,,,,10605000002,,,617800000,
0,0000004904-18-000009,20171231,279359400000,53311300000,52500000,100570700009,593434100000,423283600000,100545000042,
0,0000004962-18-000032,20141231,33687000000,,,,,,20673000000,
0,0000004962-18-000032,20151231,193635000000,52374000000,2749000000,111278000010,64093000000,56129000000,41778000001,
0,0000004962-18-000032,20160331,,,,9514000000,,2184000000,32000000.29,
0,0000004962-18-000032,20160630,,,,10250000000,,3016000000,36000000.29,
0,0000004962-18-000032,20160930,,,,8916000000,,1735000000,30000000.32,
0,0000004962-18-000032,20161231,499476000069,77839000048,3325000000,119064000011,573016500000,46586000000,103513000003,
0,0000004962-18-000032,20170331,,,,9126000000,,1817000000,31000000.32,
0,0000004962-18-000032,20170630,,,,9647000000,,1949000000,30000000.32,
0,0000004962-18-000032,20170930,,,,9792000000,,1827000000,32000000.35,
0,0000004962-18-000032,20171231,594178600293,87937000439,3311000000,115716000006,938882300000,70123000000,88846000004,
0,0000004969-18-000006,20131231,74000000,,,,,,2389000000,
0,0000004969-18-000006,20141231,535000000,,,,,,2389000000,
0,0000004969-18-000006,20151231,43570000000,1116000000,,1187000000,28935000000,3909000000,1661000000,
0,0000004969-18-000006,20160331,,,,231000000,,57000000,,
0,0000004969-18-000006,20160630,,,,236000000,,65000000,,
0,0000004969-18-000006,20160930,,,,240000000,,70000000,,
0,0000004969-18-000006,20161231,126402000000,1268000000,,1510000000,136789200000,1343000000,3303000000,
0,0000004969-18-000006,20170331,,,,311000000,,66000000,,
0,0000004969-18-000006,20170630,,,,310000000,,52000000,,
0,0000004969-18-000006,20170930,,,,358000000,,85000000,,
0,0000004969-18-000006,20171231,155396000000,3475000000,,1493000000,211482000000,2551000000,2506000000,
0,0000004977-18-000054,20141231,4658000000,48.84,,,,,1979000000,
0,0000004977-18-000054,20151231,121424000009,14018000213,,77781000000,19291000000,11177000000,11290000000,
0,0000004977-18-000054,20160331,,,,10189000000,,1948000000,731000000,
0,0000004977-18-000054,20160630,,,,10341000000,,1433000000,548000000,
0,0000004977-18-000054,20160930,,,,10819000000,,1641000000,629000000,
0,0000004977-18-000054,20161231,580273000013,92942000218,,107421000000,576690000000,31394000000,80272000000,
0,0000004977-18-000054,20170331,,,,10043000000,292000000,1552000000,592000000,
0,0000004977-18-000054,20170630,,,,10160000000,,1791000000,713000000,
0,0000004977-18-000054,20170930,,,,10313000000,,1916000000,716000000,
0,0000004977-18-000054,20171231,574925000015,100476000288,,98998000000,603215000000,35938000000,90003000198,
0,0000005272-18-000022,20141231,8182000000,25476000000,9862000000,,138872000000,,117889000000,
0,0000005272-18-000022,20150331,0.125,,,,,,,
0,0000005272-18-000022,20150630,0.125,,,,,,,
0,0000005272-18-000022,20150930,0.28,,,,,,,
0,0000005272-18-000022,20151231,102704000000,193033000000,10339000000,617612000003,213111000000,371810000000,208976000001,
0,0000005272-18-000022,20160331,-36999999.68,188000000,,11348000000,17000000,204000000,-234000000,
0,0000005272-18-000022,20160630,35000000.32,90000000,,18326000003,14000000,108000000,2869000000,
0,0000005272-18-000022,20160930,-1999999.68,210000000,,13627000001,259000000,102000000,711000000,
0,0000005272-18-000022,20161231,2331909000000,434927000000,9949000000,582805999993,3900500000000,1826277000000,917448000004,
0,0000005272-18-000022,20170331,-12999999.68,181000000,,15128000002,60000000,68000000,1753000000,
0,0000005272-18-000022,20170430,,,,,,,2500000000,
0,0000005272-18-000022,20170630,-7999999.68,47000000,,14818000002,387000000,67000000,1655000000,
0,0000005272-18-000022,20170930,-1999999.68,31000000,,8310999996,902000000,88000000,-2777000000,
0,0000005272-18-000022,20171231,2658597000000,427019000126,11558000000,620310999972,3921847000000,2417172000000,794493000004,
0,0000005513-18-000016,20071231,,,,,800000000,,,
0,0000005513-18-000016,20141231,2189200000,,,,46321100000,,166400000,
0,0000005513-18-000016,20150630,2000000,,,,,,,
0,0000005513-18-000016,20151231,2856400000,13736800000,,50431100000,143211800000,9609500000,5744300000,
0,0000005513-18-000016,20160331,,,,2936000000,,890100000,,
0,0000005513-18-000016,20160630,,,,2998100000,,968800000,,
0,0000005513-18-000016,20160731,600000,,,2500000,,,,
0,0000005513-18-000016,20160930,5400000,,,2999300000,,954500000,,
0,0000005513-18-000016,20161231,84022600000,15295400000,335100000,55938700000,475764500000,77041900000,23795300000,
0,0000005513-18-000016,20170331,,,,3036400000,,943700000,,
0,0000005513-18-000016,20170630,,,,3067100000,,990200000,,
0,0000005513-18-000016,20170930,,,,3071400000,,985600000,,
0,0000005513-18-000016,20171231,82489600000,15715500000,338600000,56438500000,489718400000,179540600000,26826900129,
0,0000006201-18-000009,20141231,994000000,,,,,,2021000000,
0,0000006201-18-000009,20150331,,,,,,,0.1,
0,0000006201-18-000009,20150630,,,,,,,0.1,
0,0000006201-18-000009,20150930,,,,,,,0.1,
0,0000006201-18-000009,20151231,-4525000000,60811000000,,89400000000,4493000000,29381000000,20740000043,
0,0000006201-18-000009,20160331,,8100000000,,11470000000,,,0.1,
0,0000006201-18-000009,20160630,,8612000000,,13064000000,,,0.1,
0,0000006201-18-000009,20160930,,9163000000,,12762000000,,,0.1,
0,0000006201-18-000009,20161231,118865000000,69409000000,4091000000,106971000000,138605000000,225595000000,23839000037,
0,0000006201-18-000009,20170331,,9023000000,,10459000000,,,0.1,
0,0000006201-18-000009,20170630,,9570000000,,13443000000,,,0.1,
0,0000006201-18-000009,20170930,,9646000000,,12734000000,,,0.1,
0,0000006201-18-000009,20171231,104171000000,76086000000,4091000000,143606000000,140228000000,309590000000,38909000086,
0,0000006281-18-000018,20161031,921132000,,,,,,,
0,0000006281-18-000018,20170131,13238002000,1051966000,,4450873000,2072306000,454848000,410892000,
0,0000006281-18-000018,20171031,56402263000,,12217455000,1178972000,42628357000,9871626000,20328453001,
0,0000006281-18-000018,20180131,58174460000,2371219000,12229180000,4609208000,43129055000,10803621000,21261259001,
0,0000006845-18-000002,20160229,60470000,,73996000,16340000,,,,
0,0000006845-18-000002,20161130,75941000,814708000,,3277041007,8621000,228769000,149761000,
0,0000006845-18-000002,20170228,2007310045,184965009.9,128884000,21933000,1281702000,246748000,791918000.3,
0,0000006845-18-000002,20171130,2928963206,1222723757,199846000,3840583006,2255700000,732891000,1038544000,
0,0000006951-18-000008,20111031,1500000000,,,,,,,
0,0000006951-18-000008,20160630,,,,,,,2000000000,
0,0000006951-18-000008,20161031,3406000000,,,153000000,,,7217000000,
0,0000006951-18-000008,20170131,4251000000,1553000000,,9382000000,-27000000,1910000000,7937000032,
0,0000006951-18-000008,20170930,,,,,,,3000000000,
0,0000006951-18-000008,20171031,73695000000,3334000000,3368000000,3421000000,49753000000,10105000000,50522000000,
0,0000006951-18-000008,20171231,,,,,,,0.1,
0,0000006951-18-000008,20180131,84424000000,3541000000,3368000000,15329000000,57159000000,12855000000,54579000053,
0,0000006955-18-000003,20160831,179604000,,,5592000,,,,
0,0000006955-18-000003,20161130,205782000,269382000,,354055000.2,10915000,12993000,-47387000,
0,0000006955-18-000003,20170831,3705188000,3119000,530081000,6616000,4598915000,821350000,2239236000,
0,0000006955-18-000003,20171130,3616292000,285710000,532827000,426372000.2,4886810000,877381000,2901773000,
0,0000007039-18-000003,20080331,,,,,10000000,,,
0,0000007039-18-000003,20141231,8613000,,,,,,121388000,
0,0000007039-18-000003,20151231,41280000,17047000,,833670000,27457000,88542000,173192000,
0,0000007039-18-000003,20160331,,,,71195000,,,,
0,0000007039-18-000003,20160630,,,,70680000,,,,
0,0000007039-18-000003,20160930,,,,68846000,,3200000,,
0,0000007039-18-000003,20161231,632592000,14588000,21798000,807133000,723603000,607048000,525624000.1,
0,0000007039-18-000003,20170331,,,,67647000,,,,
0,0000007039-18-000003,20170630,,,,74054000,,,,
0,0000007039-18-000003,20170930,,,,73096000,,,,
0,0000007039-18-000003,20171231,767563000,15911000,21798000,858836000,70832000,711732000,568348000.1,
0,0000007084-18-000012,20141231,2761000000,,,,,,19630000000,
0,0000007084-18-000012,20151231,47814000001,1571000000,264000000,150423000000,795000000,59707000000,22851000000,
0,0000007084-18-000012,20160331,,,,15395000000,,,,
0,0000007084-18-000012,20160630,101000000.2,,,16656000000,,,,
0,0000007084-18-000012,20160930,-9000000.02,,,17263000000,,,,
0,0000007084-18-000012,20161231,258750000001,1979000033,2246000000,154605000000,100353000000,160735000000,60355000000,
0,0000007084-18-000012,20170331,,,,16199000000,,,,
0,0000007084-18-000012,20170630,-22000000.04,,,16106000000,,,,
0,0000007084-18-000012,20170930,10000000.02,,,15831000000,552000000,,,
0,0000007084-18-000012,20171231,267277000001,1603000122,2276000000,153653000000,110535000000,180002000000,49668000000,
0,0000007332-18-000016,20141231,7596000000,2654000000,,,,,4662000000,
0,0000007332-18-000016,20150630,60000000,,,,,944000000,,
0,0000007332-18-000016,20150930,40000000,,,,,1746000000,,
0,0000007332-18-000016,20151231,56993000000,16957000000,,-32203000000,8041000000,16437000000,905000000,
0,0000007332-18-000016,20160331,,,,-521000000,,1675000000,-1159000000,
0,0000007332-18-000016,20160630,,,,30000000,,767000000,-620000000,
0,0000007332-18-000016,20160930,,,,-74000000,,1323000000,-735000000,
0,0000007332-18-000016,20161231,40513000000,32499000000,,-1799000000,31381000000,98265000000,1602000000,
0,0000007332-18-000016,20170331,,,,1112000000,,,281000000,
0,0000007332-18-000016,20170630,,,,999000000,-11000000,,224000000,
0,0000007332-18-000016,20170930,,,,847000000,112000000,,43000000,
0,0000007332-18-000016,20171231,98423000000,38156000045,,16560000000,30783000000,108014000000,5207000000,
0,0000007789-18-000013,20141231,1094680000,,,,,,2800251000,
0,0000007789-18-000013,20151231,24768473235,1542278000,0,9135711000,2202155000,2192316000,3753100000,
0,0000007789-18-000013,20161231,150995250595,6328119920,971951000,7741990000,80223898000,3740297000,10616387001,
0,0000007789-18-000013,20170331,162000,,55000,,,,,
0,0000007789-18-000013,20171231,158710746968,5885607875,980239000,6055692000,88830308000,4285260000,14438873001,
0,0000008063-18-000006,20141231,21378000,43778009.43,,4884000,,,,
0,0000008063-18-000006,20151231,716764028.9,738689061.9,115369000,1194642000,115547000,255392000,387922000,
0,0000008063-18-000006,20160229,,,,,,,50000000,
0,0000008063-18-000006,20160331,,,0,210498000,,16512000,,
